word	sentence	translation	difficulty_rank	gloss	transliteration	source
책	이것은 책이에요.	This is a book.	1			ai
학생	저는 학생이에요.	I am a student.	1			ai
선생님	그 사람은 선생님이에요.	That person is a teacher.	1			ai
건물	저 건물은 학교예요.	That building is a school.	2			ai
고양이	고양이가 소파 위에 있어요.	The cat is on the sofa.	2			ai
개	개는 문 앞에 있어요.	The dog is in front of the door.	2			ai
커피	저는 커피가 있어요.	I have coffee.	1			ai
냉장고	냉장고는 방 안에 있어요.	The refrigerator is in the room.	2			ai
가방	가방은 탁자 밑에 있어요.	The bag is under the table.	2			ai
전화기	저는 전화기가 있어요.	I have a phone.	1			ai
나라	한국은 나라예요.	Korea is a country.	1			ai
도시	그 도시는 미국에 있어요.	That city is in the USA.	2			ai
창문	창문 옆에 침대가 있어요.	There is a bed next to the window.	2			ai
쥐	쥐가 냉장고 뒤에 있어요.	A rat is behind the refrigerator.	2			ai
강아지	강아지가 여기에 있어요.	The puppy is here.	2			ai
컴퓨터	저는 컴퓨터가 있어요.	I have a computer.	1			ai
잡지	그것은 잡지예요.	That is a magazine.	1			ai
은행	은행은 호텔 옆에 있어요.	The bank is next to the hotel.	2			ai
미국	그 여자는 미국 사람이에요.	That woman is American.	2			ai
식당	식당은 건물 안에 있어요.	The restaurant is inside the building.	2			ai
텔레비전	텔레비전은 방 안에 있어요.	The television is in the room.	2			ai
의자	의자가 탁자 옆에 있어요.	The chair is next to the table.	2			ai
나무	이것은 나무예요.	This is a tree.	1			ai
네	네, 저는 학생이에요.	Yes, I am a student.	1			ai
안녕하세요	안녕하세요, 선생님.	Hello, teacher.	1			ai
감사하다	감사합니다.	Thank you.	1			ai
고맙다	고마워요.	Thank you.	1			ai
펜	나는 펜이 있다.	I have a pen.	1			ai
차	그것은 차예요.	That is a car.	1			ai
침대	저것은 침대예요.	That (thing) is a bed.	1			ai
의사	그 사람은 의사예요.	That person is a doctor.	1			ai
여자	저는 여자예요.	I am a woman.	1			ai
남자	나는 남자이다.	I am a man.	1			ai
학교	선생님은 학교에 있어요.	The teacher is at the school.	2			ai
여권	이것은 저의 여권이에요.	This is my passport.	1		igeoseun jeoui yeogwonieyo	ai
사진	그것은 저의 사진이에요.	That thing is my picture.	1		geugeoseun jeoui sajinieyo	ai
누나	이 사람은 저의 누나예요.	This person is my older sister.	1		i sarameun jeoui nunayeyo	ai
형	그 사람은 저의 형입니다.	That person is my older brother.	2		geu sarameun jeoui hyeongimnida	ai
돼지고기	이 고기는 돼지고기입니다.	This meat is pork.	2		i gogineun dwaejigogiimnida	ai
비밀	그것은 큰 비밀이었어요.	That was a big secret.	2		geugeoseun keun bimilieosseoyo	ai
애기	저는 나쁜 애기였어요.	I was a bad baby.	2		jeoneun nappeun aegiyeosseoyo	ai
직업	그것은 저의 직업이 아닙니다.	That is not my job.	2		geugeoseun jeoui jigeobi animnida	ai
극장	저 큰 건물은 극장입니다.	That big building over there is a theater.	2		jeo keun geonmureun geukjangimnida	ai
공원	그 장소는 공원이 될 거예요.	That place will become a park.	3		geu jangsoneun gongwoni doel geoyeyo	ai
미래	저는 미래에 의사가 될 것입니다.	I will become a doctor in the future.	3		jeoneun mirae-e uisaga doel geosimnida	ai
나라	한국이 곧 좋은 나라가 될 것이다.	Korea will become a good country soon.	3		hanguki got joeun naraga doel geosida	ai
문제	그 문제는 쉬울 거예요.	That problem will probably be easy.	3		geu munjeneun swiul geoyeyo	ai
돈	문제는 돈이 아닐 거야.	The problem is probably not money.	3		munjeneun doni anil geoya	ai
밥	저는 밥을 먹을 거예요.	I will eat a meal.	2		jeoneun babeul meogeul geoyeyo	ai
영어	저는 내일 영어를 공부할 거예요.	I will study English tomorrow.	2		jeoneun naeil yeongeoreul gongbuhal geoyeyo	ai
친구	나는 내일 친구를 만날 거야.	I will meet my friend tomorrow.	2		naneun naeil chingureul mannal geoya	ai
학교	저는 내일 학교에 갈 것입니다.	I will go to school tomorrow.	2		jeoneun naeil hakgyo-e gal geosimnida	ai
