word	sentence	translation	difficulty_rank
ت	تَرَكناهُم.	We left them behind.	4
ت	لا تَغِش.	Don't cheat.	5
ه	لا تَسُبّهُ.	Don't call him names.	5
ت	لا تَسُبّهُ.	Don't call him names.	5
ه	اُكْتُبْ ما تَعْرِفُهُ.	Write what you know.	9
ع	اُكْتُبْ ما تَعْرِفُهُ.	Write what you know.	9
أ	أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم.	I make €100 a day.	15
إلى	أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم.	I make €100 a day.	15
ة	أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم.	I make €100 a day.	15
ف	أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم.	I make €100 a day.	15
ي	أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم.	I make €100 a day.	15
و	أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم.	I make €100 a day.	15
ع	عُلم!	Roger!	17
ع	حسنًا عُمِلَ.	It's well done.	28
ه	هذا أمرٌ مُسَلمٌ بِهِ.	It's an indisputable matter.	32
هناك	ليس هناك ما يمكنني فعله.	There's nothing I can do.	35
ان	يمكنني ان افعلها من اجلك	I can do it for you.	41
ى	ليس لديك أي حُمّى.	You have no fever.	42
أي	سأفعل أي شيء من أجلك.	I will do anything for you.	42
وجب	الذي قلته كان يجب أن يقال.	What you said needed to be said.	47
إلى	هل تريد أن تذهب إلى هناك؟	Do you want to go there?	48
لك	لقد قلت لك أنه ليس هنا.	I already told you he isn't here.	51
لقد	لقد قلت لك أنه ليس هنا.	I already told you he isn't here.	51
فقط	أنت فقط الرجل الذي أريد ان أراه.	You're just the man I want to see.	52
ان	أنت فقط الرجل الذي أريد ان أراه.	You're just the man I want to see.	52
ان	كَانَ شَيْخٌ كَبِيرًا قَدْ عَمِيَ.	He was an old man and had lost his eyesight.	52
ق	كَانَ شَيْخٌ كَبِيرًا قَدْ عَمِيَ.	He was an old man and had lost his eyesight.	52
وقت	ماذا كنت تفعل في ذلك الوقت؟	What were you doing at that time?	53
عرف	هذا ما نريد أن نعرفه.	This is what we want to know.	54
هي	ما الذي تراهُ هيُ فيه؟	What does she see in him?	55
قام	إنني أقوم بذلك من أجلك.	I'm doing this for you.	57
قام	أمرني أن أقوم بهذا، فقمت به.	He told me to do it, so I did it.	57
بعد	لا أريد أن أراه بعد الآن.	I don't want to see him at all.	62
أخبر	فقط أخبرني ما الذي تريده.	Just tell me what you want.	65
شخص	أي شخص يمكنه فعل ذلك.	Anyone can do that.	67
شخص	ليس أمرًا هيّنًا على أيّ شخص.	It's not something anyone can do.	67
على	ليس أمرًا هيّنًا على أيّ شخص.	It's not something anyone can do.	67
أحد	لا أحد يذهب هناك بعد الآن.	No one goes there anymore.	69
حق	ماذا! هل فعلت ذلك حقًا؟	What! You didn't really do that?	74
إذا	ماذا إذا كنت على حق؟	What if I'm right?	74
على	ماذا إذا كنت على حق؟	What if I'm right?	74
نفس	لا يمكنك أن تفعل شيئين في الوقت نفسه.	You can't do two things at once.	75
إذا	إذا لم أكن لنفسي, فمن سيكون لي? وإذا كنت فقط لنفسي, فماذا انا؟	If I am not for myself, who will be for me? But if I am for myself only, what am I?	75
ربما	ربما يجب ان تفعل ذلك الآن.	Perhaps you should do that now.	76
قبل	قلت لك ذلك من قبل!	I told you before!	78
قبل	لقد رأيت ذلك من قبل.	I've seen that.	78
وجد	هل تعرفان أين يمكن أن أجده؟	Do you know where I can find it?	79
تحدث	مع من تريد أن تتحدث؟	Who do you want to talk to?	81
مكان	يمكنك أن تذهب إلى أي مكان تريد.	You may go anywhere.	83
مكان	لم نره في أي مكان.	We didn't see him anywhere.	83
آخر	أريد التحدث اليك عن شيء آخر.	I want to talk to you about something else.	87
آخر	لم يكن لديّ أيّ شيء آخر أقوم به.	I had nothing else to do.	87
علم	نحن لا نعلم من هي.	We don't know her.	89
أو	لا نعلم كيف أو لماذا.	We don't know how or why.	89
حصل	لا يمكن أن يحصل ذلك!	It can't be!	95
لو	و ماذا لو حصل ذلك؟	So what?	97
لو	ماذا كنتَ ستقول لو كنت في مكاني؟	What would you say if you were in my place?	97
صحيح	لا يمكن أن يكون ذلك صحيحاً.	It can't be true.	102
صحيح	ما أخبروك به ليس صحيحاً.	What they told you is not true.	102
أو	قد يكون أو لا يكون صحيحًا.	It may or may not be true.	102
أكل	لم يكن لديّ وقت للأكل.	I had no time to eat.	105
إن	إن أردت أن تقتلني، فافعل ذلك.	If you wanna kill me, then do it.	106
آن	ليس لدي وقت للاكل الان.	I don't have time to eat now.	107
ظن	لم تظن أنني أخبرتها بذلك؟	Why do you think I told her about it?	110
عليك	يجب عليك فعل ذلك بنفسك.	You must do it yourself.	113
جعل	ما الذي جعلها تفعل ذلك؟	What made her do such a thing?	114
جعل	ما الذي جعلك تأتي إلى هنا؟	What made you come here?	117
أتى	ما الذي جعلك تأتي إلى هنا؟	What made you come here?	117
طريق	نحن في طريقنا إلى المنزل.	We are on the way home.	120
طريق	هل يمكنك ان تريني الطريق؟	Can you show me the way?	120
مرة	إنها لم تكن أول مرة يفعلوها.	It wasn't the first time they had done it.	121
أول	إنها لم تكن أول مرة يفعلوها.	It wasn't the first time they had done it.	121
مرة	هذه المرة الأولى أكون هنا	This is the first time that I've been here.	121
أول	هذه المرة الأولى أكون هنا	This is the first time that I've been here.	121
بخير	انا بخير ماذا عنك انت ؟	I'm fine. How about you?	122
واحد	لا يمكنك أن تفعل شيئين في وقت واحد.	You can't do two things at once.	126
أعلم	لا أعلم من أين أتت.	I didn't know where it came from.	127
يوم	هل تأتي إلى هنا كل يوم؟	Do you come here every day?	128
طفل	أي طفل يمكنه فعل ذلك.	Any child can do that.	129
صديق	آن لديها الكثير من الأصدقاء.	Ann has many friends.	130
أفضل	من الأفضل لك أن تذهب.	You had better go.	131
أفضل	من الأفضل لك أن تبدأ الآن.	You'd better start now.	131
أفضل	من الأفضل لك أن تذهب الآن.	You had better go now.	131
تعرف	هل تعرف ما الذي حصل؟	Do you know what happened?	133
تعرف	إنك لا تعرف من أكون.	You don't know who I am.	133
أكثر	أريد أن أتعرف عليك أكثر.	I want to get to know you better.	133
أم	لا يمكن لأمي أن تأتي.	My mother can't come.	135
عند	هل نذهب عندى أم عندك ؟	Shall we go to my place or yours?	139
تكون	كان عليك أن تكون قد بدأت الآن.	You should have started by now.	140
تكون	هو يعلم من تكون هي.	He knows who she is.	140
سمع	سمعنا ذلك من فلان و فلان.	We heard it from Mr Such and such.	141
ألا	من الأفضل لك ألا تذهب.	You'd better not go.	142
ألا	من الأفضل ألا تذهب إلى هناك.	You'd better not go there.	142
ألا	عليك ألا تذهب إلى هناك.	You should not go there.	142
علي	لا أعرف ما الذي عليّ فعله.	I don't know what to do.	143
اليوم	من الأفضل ألا تقوم بأي شيء اليوم.	You had better not do anything today.	145
اليوم	هل لديك الكثير لتفعله اليوم؟	Do you have a lot to do today?	145
أليس	ذهب الجميع إلى هناك، أليس كذلك؟	Everyone went there, didn't they?	147
أليس	إنه ليس هنا ، أليس كذلك؟	He isn't here, is he?	147
جد	أنت جيد جدًا في فعل ذلك ، أليس كذلك؟	You're very good at doing that, aren't you?	147
تعلم	العلم هو تعلم ما لم تكن تعلم أنك لم تعرفه.	Education is learning what you didn't even know you didn't know.	149
عليه	لم يكن عليه فعل هذا.	He shouldn't have done that.	151
عليه	إن أردته، فعليك أن تأتي لتحصل عليه.	If you want it, you'll have to come get it.	151
زال	لا أعرف إن كانت لا تزال معي.	I don't know if I still have it.	152
زال	لا أعلم إذا ما كان لا يزال معي.	I don't know if I still have it.	152
زال	ما زال لدينا الكثير من الوقت.	We still have more time.	152
والد	والدنا يذهب الي العمل بالسيارة.	Our father goes to work by car.	154
أيض	والد صديقي هو ايضاً صديق والدي.	My friend's father is friends with my father.	154
ناس	الناس يحبون التحدث والتحدث والتحدث.	People love to talk, talk, talk.	156
ناس	كثير من الناس يقومون بذلك.	A lot of people do that.	156
سبب	كل ما يحصل، يحصل لسبب.	Everything happens for a reason.	159
