word	sentence	translation	difficulty_rank
into	Le nto intle.	This thing is beautiful.	100
igama	Igama lam nguThemba.	My name is Themba.	100
abantu	Abantu bayasebenza.	The people are working.	100
indoda	Indoda iyahamba.	The man is walking.	100
amadoda	Amadoda ayasebenza.	The men are working.	100
ilizwe	Ilizwe lethu lihle.	Our country is beautiful.	100
ilizwi	Ndiva ilizwi lakho.	I hear your voice.	100
inkosi	Inkosi iyathetha.	The chief is speaking.	100
umthetho	Umthetho ubalulekile.	The law is important.	100
isandla	Isandla sam sibuhlungu.	My hand hurts.	100
intliziyo	Intliziyo yam iyavuya.	My heart rejoices.	100
umoya	Umoya uyavuthuza namhlanje.	The wind is blowing today.	100
xa	Xa kumnyama, siyalala.	When it is dark, we sleep.	100
phakathi	Uphakathi endlwini.	He is inside the house.	100
phezu	Incwadi iphezu kwetafile.	The book is on the table.	100
phantsi	Hlala phantsi.	Sit down.	100
apha	Yiza apha.	Come here.	100
apho	Hlala apho.	Sit there.	100
musa	Musa ukuhamba.	Don't go.	100
kakhulu	Enkosi kakhulu.	Thank you very much.	100
bona	Bona bayafunda.	They are studying.	100
nina	Nina niyaphi?	Where are you all going?	100
uthixo	UThixo mkhulu.	God is great.	100
unyana	Unyana wam uyafunda.	My son is studying.	100
emva	Yima emva kwam.	Stand behind me.	100
ngoko	Ngoko ke, masihambe.	So then, let us go.	100
amehlo	Amehlo am abuhlungu.	My eyes hurt.	100
nje	Uhleli nje.	He is just sitting.	100
lowo	Lowo mntu ngutata wam.	That person is my father.	100
le	Le mizi mikhulu.	These homesteads are big.	100
leyo	Leyo mithi mide.	Those trees are tall.	100
oko	Oko kutya kumnandi.	That food is delicious.	100
abo	Abo bantu bayasebenza.	Those people are working.	100
ezi	Ezi zinto zintle.	These things are beautiful.	100
ezo	Ezo zinto zindala.	Those things are old.	100
eli	Eli lizwe lihle.	This country is beautiful.	100
elo	Elo gama lihle.	That name is beautiful.	100
la	La madoda ayasebenza.	These men are working.	100
lawo	Lawo madoda alapha.	Those men are here.	100
oku	Oku kutya kushushu.	This food is hot.	100
loo	Loo ndoda inde.	That man is tall.	100
wona	Umzi wona mkhulu.	The homestead itself is big.	100
yona	Imizi yona mihle.	The homesteads themselves are beautiful.	100
nye	Ndinomntwana omnye.	I have one child.	100
ntoni	Ufuna ntoni?	What do you want?	100
intombi	Intombi iyafunda.	The girl is studying.	100
umfazi	Umfazi uyapheka.	The woman is cooking.	100
indlela	Indlela inde.	The road is long.	100
inyama	Inyama imnandi.	The meat is delicious.	100
igazi	Igazi libomvu.	Blood is red.	100
ubuso	Ubuso bakhe buhle.	Her face is beautiful.	100
umzi	Umzi wethu mkhulu.	Our homestead is big.	100
inene	Thetha inene.	Speak the truth.	100
inceba	Yiba nenceba.	Have mercy.	100
izandla	Hlamba izandla zakho.	Wash your hands.	100
umsindo	Yeka umsindo.	Stop the anger.	100
musani	Musani ukuhamba.	Don't go (you all).	100
aba	Aba bantu bahlala apha.	These people live here.	100
uyise	Uyise uyasebenza.	His father is working.	100
umphefumlo	Umphefumlo wam uyavuya.	My soul rejoices.	100
kaloku	Ndiza kaloku ndilambile.	I am coming, for I am hungry.	100
ilifa	Ilifa lelakho.	The inheritance is yours.	100
umkhonzi	Umkhonzi uyathetha.	The servant is speaking.	100
ilanga	Ilanga liyakhanya namhlanje.	The sun is shining today.	129
umlilo	Umlilo uyavutha.	The fire is burning.	95
intloko	Intloko yam ibuhlungu.	My head hurts.	100
ilitye	Ilitye linzima.	The stone is heavy.	140
ulwandle	Ulwandle lukhulu.	The sea is big.	137
izulu	Izulu lihle namhlanje.	The sky is beautiful today.	116
umhlaba	Umhlaba mkhulu.	The earth is big.	96
isonka	Ndifuna isonka.	I want bread.	89
inyaniso	Ndixelela inyaniso.	I tell the truth.	98
imini	Imini ishushu.	The day is hot.	82
indawo	Indawo intle.	The place is nice.	102
umntwana	Umntwana ulele.	The child is sleeping.	133
umzimba	Umzimba wam ukhathele.	My body is tired.	134
hamba	Hamba kakuhle.	Go well.	105
thetha	Thetha nam.	Speak with me.	120
buya	Buya kwakhona.	Come back again.	149
indlebe	Indlebe iva into.	The ear hears something.	106
amandla	Ndifuna amandla.	I need strength.	86
