word	sentence	translation	difficulty_rank
wọn	Wọn wà ní ilé.	They are at home.	100
fun	Fun mi ní omi.	Give me water.	100
rẹ	Ilé rẹ tóbi.	Your house is big.	100
ẹ ṣé	Ẹ ṣé gan-an.	Thank you very much.	100
pe	Pe mi ní ọ̀la.	Call me tomorrow.	100
le	Mo le ṣe é.	I can do it.	100
ilu	Ilu wa tóbi.	Our town is big.	100
ohun	Ohun yìí dára.	This thing is good.	100
mọ	Mo mọ ọkùnrin náà.	I know that man.	100
ẹni	Ẹni rere ni í ṣe.	He is a good person.	100
nitori	Mo dúró nitori òjò.	I stayed because of the rain.	100
kan	Mo ní ọmọ kan.	I have one child.	100
ara	Ara mi le.	I am healthy.	100
tabi	Tii tabi kọfí?	Tea or coffee?	100
iṣẹ	Iṣẹ mi dára.	My work is good.	100
owo	Mo ní owo díẹ̀.	I have a little money.	100
gba	Gba owo yìí.	Take this money.	100
ninu	Omi wà ninu ife.	The water is in the cup.	100
ọjọ	Ọjọ dára lónìí.	It is a fine day today.	100
gbogbo	Gbogbo wa wà níbí.	We are all here.	100
ju	Ju bọ́ọ̀lù náà sí mi.	Throw the ball to me.	100
gbe	Gbe àpò náà.	Carry the bag.	100
eyi	Eyi dára púpọ̀.	This is very good.	100
da	Da omi sí inú ife.	Pour water into the cup.	100
yoruba	Mo ń kọ́ èdè Yoruba.	I am learning the Yoruba language.	100
ọmọ	Ọmọ náà ń sùn.	The child is sleeping.	100
ati	Mo ra iṣu ati ẹja.	I bought yam and fish.	100
wọ	Ó wọ aṣọ tuntun.	He put on new clothes.	100
ti	Mo ti jẹun.	I have already eaten.	100
bi	Ó dùn bi oyin.	It is sweet like honey.	100
fi	Fi ọbẹ gé e.	Cut it with a knife.	100
to	Owo yìí to fún wa.	This money is enough for us.	100
pọ	Èèyàn pọ ní ọjà.	There are many people at the market.	100
ba	Mo ba ọ̀rẹ́ mi sọ̀rọ̀.	I spoke with my friend.	100
yi	Ọkùnrin yi ga.	This man is tall.	100
ri	Mo ri ilé náà.	I saw the house.	100
ọdun	Ọdun tuntun ti dé.	The new year has arrived.	100
na	Ọjà náà wọ́n.	That market is expensive.	100
pẹ	Má pẹ dé ilé.	Don't be late coming home.	100
di	Ó di ọlọ́rọ̀.	He became rich.	100
ede	Mo fẹ́ kọ́ ede tuntun.	I want to learn a new language.	100
ijọba	Ijọba kọ́ ilé-ìwé.	The government built a school.	100
la	Mo la àlá dáradára.	I dreamed a good dream.	100
ọkọ	Ọkọ rẹ̀ wà ní ilé.	Her husband is at home.	100
igba	Igba ni ó kún fún omi.	The calabash is full of water.	100
ku	Igi náà ti ku.	The tree has died.	100
wo	Wo mi lójú.	Look at me.	100
gbọ	Mo gbọ orin náà.	I heard the song.	100
obinrin	Obinrin náà ń ṣiṣẹ́.	The woman is working.	100
pa	Ejò lè pa eku.	A snake can kill a rat.	100
baba	Baba mi wà ní oko.	My father is at the farm.	100
oju	Oju rẹ̀ dára.	Her face is beautiful.	100
iwa	Iwa rere dára ju owó lọ.	Good character is better than money.	100
ẹbi	Ẹbi mi tóbi.	My family is big.	100
iya	Iya mi ń se oúnjẹ.	My mother is cooking food.	100
eniyan	Eniyan rere ni ó jẹ́.	He is a good person.	100
agba	Bọ̀wọ̀ fún àwọn agba.	Respect the elders.	100
pataki	Ẹ̀kọ́ ṣe pataki.	Education is important.	100
bọ	Yóò bọ̀ lọ́la.	He will return tomorrow.	100
maa	Èmi yóò maa kọ́ èdè Yorùbá.	I will keep learning Yoruba.	100
oṣelu	Oṣelu náà sọ̀rọ̀ lónìí.	The politician spoke today.	100
ibi	Ibi dára ni èyí.	This is a good place.	100
tọ	Ọ̀nà yìí tọ́.	This way is right.	100
