word	sentence	translation	difficulty_rank
ako	Ako?	Me?	1
ako	Hindi ikaw, ako!	It's not you, it's me!	12
ikaw	Hindi ikaw, ako!	It's not you, it's me!	12
hindi	Hindi ikaw, ako!	It's not you, it's me!	12
hindi	Hindi!	No!	12
ako	Hindi, hindi ako! Ikaw!	No, it is not me! It is you!	12
ikaw	Hindi, hindi ako! Ikaw!	No, it is not me! It is you!	12
hindi	Hindi, hindi ako! Ikaw!	No, it is not me! It is you!	12
oo	Oo.	Yes.	13
kami	Hindi na kami.	We're not together anymore.	14
na	Hindi na kami.	We're not together anymore.	14
na	Hindi na tayo.	We're not together anymore.	15
tayo	Hindi na tayo.	We're not together anymore.	15
iyan	Hindi ako iyan.	That wasn't me.	19
iyan	Ano iyan?	What is that?	23
ano	Ano iyan?	What is that?	23
ano	Ano?	What?	23
siya	Sino siya?	Who is she?	24
sino	Sino siya?	Who is she?	24
sino	Sino?	Who?	24
sila	Sino sila?	Who are those guys?	24
sino	Sino sila?	Who are those guys?	24
iyan	Sino iyan?	Who is there?	24
tayo	Sino tayo?	Who are we?	24
kung	Kung hindi ako, sino?	If not me, then who?	24
saan	Saan?	Where?	25
bakit	Bakit?	Why?	26
bakit	Bakit ako?	Why me?	26
bakit	Bakit hindi?	Why not?	26
pero	Pero bakit?	But why?	26
siya	Bakit siya at hindi ako?	Why him and not me?	26
at	Bakit siya at hindi ako?	Why him and not me?	26
kailan	Kailan?	When?	27
paano	Paano?	How?	28
wala	Sino ang wala?	Who is absent?	30
ang	Sino ang wala?	Who is absent?	30
kayo	Wala kayo.	You are not here.	30
wala	Wala kayo.	You are not here.	30
kumain	Kumain na tayo!	Let's eat already!	33
na	Kumain na tayo!	Let's eat already!	33
tayo	Kumain na tayo!	Let's eat already!	33
kumain	Bakit hindi tayo kumain?	Why don't we go get something to eat?	33
kumain	Kumain kami.	We ate.	33
kami	Kumain kami.	We ate.	33
at	Uminom at kumain.	Drink and eat.	34
uminom	Uminom at kumain.	Drink and eat.	34
at	Kumain at uminom.	Eat and drink.	34
uminom	Kumain at uminom.	Eat and drink.	34
uminom	Uminom tayo.	Let's drink.	34
pumunta	Saan siya pumunta?	Where did he go?	35
siya	Saan siya pumunta?	Where did he go?	35
saan	Saan siya pumunta?	Where did he go?	35
pumunta	Saan sila pumunta?	Where have they gone?	35
sila	Saan sila pumunta?	Where have they gone?	35
saan	Saan sila pumunta?	Where have they gone?	35
dumating	May dumating.	Someone came.	36
may	May dumating.	Someone came.	36
dumating	Dumating siya.	He came.	36
matulog	Matulog na.	Go to bed.	41
maglaro	Maglaro tayo.	Let's play.	42
maglaro	Maglaro tayo!	Let's play!	42
umuwi	Umuwi na tayo!	Let's go home!	47
bahay	Wala siya sa bahay.	He's not at home.	48
sa	Wala siya sa bahay.	He's not at home.	48
wala	Wala siya sa bahay.	He's not at home.	48
tubig	Uminom siya ng tubig.	He drank water.	49
ng	Uminom siya ng tubig.	He drank water.	49
bata	Hindi na siya bata.	He's not young anymore.	51
kayo	Hindi na kayo bata.	You're not young anymore.	51
bata	Hindi na kayo bata.	You're not young anymore.	51
bata	Hindi na ako bata.	I'm not young anymore.	51
lalaki	Lalaki ako.	I am a man.	52
ang	Bata ang lalaki.	The man is young.	52
lalaki	Bata ang lalaki.	The man is young.	52
babae	Babae ako.	I am a woman.	53
gabi	Dumating ang gabi.	Night came on.	57
ang	Dumating ang gabi.	Night came on.	57
dumating	Dumating ang gabi.	Night came on.	57
gabi	Gabi na.	It's night.	57
oras	Ano'ng oras na?	What time is it?	63
ano	Ano'ng oras na?	What time is it?	63
ng	Ano'ng oras na?	What time is it?	63
oras	Oras na.	It's about time.	63
oras	Dumating na ang oras.	The time has come.	63
kaibigan	May kaibigan ako.	I have a friend.	64
may	May kaibigan ako.	I have a friend.	64
mabuti	Mabuti.	Good.	68
maganda	Maganda ang araw.	It's a nice day.	69
araw	Maganda ang araw.	It's a nice day.	69
maganda	Maganda.	Good.	69
masama	Hindi na masama.	Not bad.	70
bago	Bago ito.	This is new.	73
ito	Bago ito.	This is new.	73
bago	Bago ang mga ito.	These are new.	73
ito	Bago ang mga ito.	These are new.	73
mga	Bago ang mga ito.	These are new.	73
isa	Bumili ako ng isa.	I purchased one.	79
ng	Bumili ako ng isa.	I purchased one.	79
bumili	Bumili ako ng isa.	I purchased one.	79
dalawa	Oo, dalawa.	Yes, two.	80
oo	Oo, dalawa.	Yes, two.	80
sampu	Isa, dalawa, tatlo, apat, lima, anim, pito, walo, siyam, sampu.	One, two, three, four, five, six, seven, eight, nine, ten.	88
tatlo	Isa, dalawa, tatlo, apat, lima, anim, pito, walo, siyam, sampu.	One, two, three, four, five, six, seven, eight, nine, ten.	88
apat	Isa, dalawa, tatlo, apat, lima, anim, pito, walo, siyam, sampu.	One, two, three, four, five, six, seven, eight, nine, ten.	88
dalawa	Isa, dalawa, tatlo, apat, lima, anim, pito, walo, siyam, sampu.	One, two, three, four, five, six, seven, eight, nine, ten.	88
