word	sentence	translation	difficulty_rank
que	Que?	What?	1
ha	Ha ha ha!	Hahaha!	14
com	Com?	What?	20
hi	Què hi ha?	What is going on?	23
què	Què hi ha?	What is going on?	23
ha	Què hi ha?	What is going on?	23
no	Això no és per a tu.	This isn't for you.	29
és	Això no és per a tu.	This isn't for you.	29
per	Això no és per a tu.	This isn't for you.	29
això	Això no és per a tu.	This isn't for you.	29
a	Això no és per a tu.	This isn't for you.	29
tu	Això no és per a tu.	This isn't for you.	29
sí	Sí, com jo.	Yeah, me too.	33
com	Sí, com jo.	Yeah, me too.	33
jo	Sí, com jo.	Yeah, me too.	33
sí	Sí, i jo!	Yeah, me too.	33
jo	Sí, i jo!	Yeah, me too.	33
això	Això és tot.	That's all.	34
tot	Això és tot.	That's all.	34
és	Això és tot.	That's all.	34
està	Com està?	How are you?	36
com	Com està?	How are you?	36
he	He de fer això.	I need to do this.	40
això	He de fer això.	I need to do this.	40
fer	He de fer això.	I need to do this.	40
de	He de fer això.	I need to do this.	40
no	No has de fer-ho.	You don't have to do this.	41
ho	No has de fer-ho.	You don't have to do this.	41
de	No has de fer-ho.	You don't have to do this.	41
has	No has de fer-ho.	You don't have to do this.	41
fer	No has de fer-ho.	You don't have to do this.	41
no	Això no ho has de fer.	You don't have to do this.	41
ho	Això no ho has de fer.	You don't have to do this.	41
de	Això no ho has de fer.	You don't have to do this.	41
has	Això no ho has de fer.	You don't have to do this.	41
fer	Això no ho has de fer.	You don't have to do this.	41
ara	Ara!	Now!	43
hi	No n'hi ha cap.	There aren't any.	49
ha	No n'hi ha cap.	There aren't any.	49
cap	No n'hi ha cap.	There aren't any.	49
res	De res.	You're welcome.	50
res	No va dir res!	She didn't say anything!	53
va	No va dir res!	She didn't say anything!	53
dir	No va dir res!	She didn't say anything!	53
on	On és?	Where is he?	54
és	On és?	Where is he?	54
tot	Ho sé tot de tu.	I know everything about you.	55
sé	Ho sé tot de tu.	I know everything about you.	55
ho	Ho sé tot de tu.	I know everything about you.	55
tu	Ho sé tot de tu.	I know everything about you.	55
cosa	T'he de dir una cosa.	I have something to tell you.	56
dir	T'he de dir una cosa.	I have something to tell you.	56
he	T'he de dir una cosa.	I have something to tell you.	56
una	T'he de dir una cosa.	I have something to tell you.	56
li	Li he de dir una cosa.	There's one thing I must tell you.	56
cosa	Li he de dir una cosa.	There's one thing I must tell you.	56
dir	Li he de dir una cosa.	There's one thing I must tell you.	56
he	Li he de dir una cosa.	There's one thing I must tell you.	56
una	Li he de dir una cosa.	There's one thing I must tell you.	56
li	He de dir-li una cosa.	There's one thing I must tell you.	56
cosa	He de dir-li una cosa.	There's one thing I must tell you.	56
una	He de dir-li una cosa.	There's one thing I must tell you.	56
els	Els he de dir una cosa.	There's one thing I must tell you.	56
jo	Sóc jo.	It's me.	58
soc	Sóc jo.	It's me.	58
soc	Jo sóc!	I am!	58
ets	Qui ets tu?	Who are you?	64
tu	Qui ets tu?	Who are you?	64
qui	Qui ets tu?	Who are you?	64
ets	Qui ets?	Who are you?	64
qui	Qui ets?	Who are you?	64
us	Us he de dir una cosa.	I have something to tell you.	65
tot	Tu ho ets tot per mi.	You are everything to me.	68
mi	Tu ho ets tot per mi.	You are everything to me.	68
per	Tu ho ets tot per mi.	You are everything to me.	68
ets	Tu ho ets tot per mi.	You are everything to me.	68
mi	Tu ets tot per mi.	You are everything to me.	68
per	Tu ets tot per mi.	You are everything to me.	68
puc	No puc fer més.	I can’t do more.	69
més	No puc fer més.	I can’t do more.	69
res	No puc fer res més.	I can't do any more than this.	69
puc	No puc fer res més.	I can't do any more than this.	69
més	No puc fer res més.	I can't do any more than this.	69
puc	No puc dir això.	I can't say that.	69
vaig	La vaig veure.	I saw her.	70
veure	La vaig veure.	I saw her.	70
la	La vaig veure.	I saw her.	70
vaig	Vaig veure-la.	I saw her.	70
veure	Vaig veure-la.	I saw her.	70
la	Vaig veure-la.	I saw her.	70
són	De qui són?	Whose are they?	73
qui	De qui són?	Whose are they?	73
en	En vull!	I want some!	74
vull	En vull!	I want some!	74
veure	Vull veure't.	I want to see you.	74
vull	Vull veure't.	I want to see you.	74
sí	Sí que ho vull.	I do want it.	74
vull	Sí que ho vull.	I do want it.	74
que	Sí que ho vull.	I do want it.	74
fet	Fet!	Done!	75
hi	Hi estic d'acord.	I agree.	76
acord	Hi estic d'acord.	I agree.	76
