word	sentence	translation	difficulty_rank
ich	Ich?	Me?	1
das	Das ist sie.	That's the one.	4
ist	Das ist sie.	That's the one.	4
sie	Das ist sie.	That's the one.	4
das	Das ist o.k.	That's OK.	4
ist	Das ist o.k.	That's OK.	4
o	Das ist o.k.	That's OK.	4
sie	Sie ist 81.	She is eighty-one.	4
ist	Sie ist 81.	She is eighty-one.	4
das	Das ist sie!	This is the one.	4
sie	Das ist sie!	This is the one.	4
nicht	Das ist sie nicht.	That isn't her.	6
nicht	Ich nicht.	I don't.	6
ich	Ich nicht.	I don't.	6
es	Ist es das?	Is that it?	8
es	Das ist es.	This is it.	8
nicht	Das ist es nicht.	That isn't it.	8
es	Das ist es nicht.	That isn't it.	8
du	Und du?	And you?	9
und	Und du?	And you?	9
ich	Und ich?	What about me?	9
und	Und ich?	What about me?	9
und	Und?	Now what?	9
du	Ich nicht, und du?	Not me. And you?	9
was	Was ist das?	What is it?	12
was	Was?	What?	12
was	Es ist, was es ist.	It is what it is.	12
zu	Sie ist zu.	It's closed.	13
er	Er ist es.	It is he.	14
er	Das ist er.	That's the one.	14
er	Das ist er nicht.	That's not him.	14
ja	Ja.	Yes.	17
ja	Ja!	Yes!	17
ja	Ja und?	So what?	17
ein	Ist das ein Ja?	Is that a yes?	17
du	„Ich?“ „Ja, du!“	"""Me?"" ""Yes, you!"""	17
wie	Wie ist er?	What is he like?	20
wie	Wie ist es?	What's it like?	20
wie	Und wie!	And how!	20
wir	Sie ist nicht wie wir.	She's not like us.	20
wir	Er ist nicht wie wir.	He's not like us.	20
auf	Auf, auf!	Let's go!	24
so	So ist es.	That's the way it is.	27
so	Das ist so.	That's the way.	27
so	Ist das nicht so?	Is this not so?	27
wir	Er ist nicht so wie wir.	He's not like us.	27
hat	Was hat sie?	What does she have?	28
hat	Was hat er?	What's the matter with him?	28
hat	Er hat es.	He has got it.	28
auf	Er hat auf.	It's open.	28
die	Sie hat die und ich nicht.	She's got them, and I haven't.	28
hier	Er ist hier!	He is here!	29
hier	Sie ist nicht hier.	She's not here.	29
hier	Ist das hier?	Is it here?	29
haben	Was haben Sie nicht?	What don't you have?	30
haben	Was haben Sie?	What do you have?	30
haben	Haben wir eine?	Do we have one?	30
eine	Haben wir eine?	Do we have one?	30
war	Was war das?	What was that?	31
war	War es das?	Are we done?	31
war	So war es.	It was like this.	31
ein	War das ein Ja?	Was that a yes?	31
für	Das ist für Sie.	This is for you.	32
mich	Ist das für mich?	Is that for me?	32
für	Ist das für mich?	Is that for me?	32
für	Für was ist das?	What's this for?	32
mich	Es ist für mich.	It's for me.	32
mich	Das ist nicht für mich.	This isn't for me.	32
sind	Wir sind hier.	We are here.	33
sind	Sie sind hier.	They are here.	33
sind	Sind Sie das?	Is that you?	33
die	Die sind nicht so wie wir.	They aren't like us.	33
die	Sind die für mich?	Are those for me?	33
von	Wir sind von hier.	We're from here.	34
von	Wir sind nicht von hier.	We're not from around here.	34
von	Das ist von mir.	This is from me.	34
mir	Das ist von mir.	This is from me.	34
mir	Es ist nicht von mir.	It's not from me.	34
mir	Das ist nicht von mir.	It's not from me.	34
dich	Das ist für dich.	This is for you.	36
dich	Es ist nicht für dich.	It's not for you.	36
dich	Das ist nicht für dich	This isn't for you.	36
mit	Was ist mit ihr?	What about her?	37
ihr	Was ist mit ihr?	What about her?	37
ihr	Er ist nicht wie ihr.	He's not like you.	37
ihr	Sie ist nicht wie ihr.	She's not like you.	37
nein	Nein!	No!	38
nein	Ja und nein.	Yes and no.	38
o	O nein!	Oh, no!	38
nein	O nein!	Oh, no!	38
ein	War das ein Nein?	Was that a no?	38
o	O nein, nicht der!	Oh no, it's him!	38
der	O nein, nicht der!	Oh no, it's him!	38
dass	Nein, dass ist es nicht.	No, it's not that.	38
den	Nein, nicht den!	No, not that one!	38
der	Nein, nicht der!	No, not that one!	38
habe	Was habe ich?	What do I have?	39
habe	Ich habe es nicht.	I don't have it.	39
habe	Ich habe eine.	I have one.	39
eine	Ich habe eine.	I have one.	39
an	Was haben Sie an?	What are you wearing?	40
bin	Ich bin’s.	It's me.	41
bin	Ich bin 19.	I'm 19.	41
bin	Ich bin 27.	I'm 27.	41
auf	Ich bin auf.	I'm up.	41
aber	Aber ich bin nicht so!	But I'm not like that!	41
noch	Sie ist noch nicht hier.	She is not here yet.	42
noch	Was noch?	What else?	42
noch	Noch nicht.	Not yet.	42
zu	Ist sie noch zu haben?	Is she still single?	42
zu	Ist er noch zu haben?	Is he still single?	42
nur	Nur zu!	You go right ahead.	43
nur	Ich bin's nur!	It's only me.	43
nur	Nein, nur eine.	No, just one.	43
eine	Nein, nur eine.	No, just one.	43
da	Was ist das da?	What's that there?	44
da	Da sind wir!	Here we are!	44
da	Da sind wir.	Here we are.	44
dir	Wie du mir, so ich dir.	As you treat me, so I will treat you.	45
mit	Was ist mit dir?	How about you?	45
dir	Was ist mit dir?	How about you?	45
mit	Er ist mit dir.	He is with you.	45
dir	Er ist mit dir.	He is with you.	45
einen	Haben Sie einen?	Do you have one?	47
einen	Haben wir einen?	Do we have one?	47
der	Sie hat einen, den der nicht hat.	She's got one that he hasn't.	47
einen	Sie hat einen, den der nicht hat.	She's got one that he hasn't.	47
den	Sie hat einen, den der nicht hat.	She's got one that he hasn't.	47
uns	Was ist mit uns?	What about us?	48
uns	Wir haben uns.	We've got each other.	48
uns	Es ist für uns.	It's for us.	48
an	Es ist an uns.	It's up to us.	48
hast	Was hast du nicht?	What don't you have?	49
hast	Was hast du?	What do you have?	49
hast	Hast du es noch?	Do you still have it?	49
an	Was hast du da an?	What's that your wearing?	49
kann	Ich kann es nicht.	I can't.	51
kann	Ich kann nicht.	I can't.	51
kann	Kann er das?	Can he do it?	51
gut	Es ist gut so.	So be it.	52
gut	Was gut für dich ist, ist gut für mich.	What is good for you is good for me.	52
gut	Er ist gut.	He's good.	52
auch	Ja, sie ist auch da.	Yes, it's there too.	53
auch	Auch das noch!	As if it weren't enough already!	53
auch	Ich auch.	Me, too.	53
schon	Ist sie schon hier?	Is she here yet?	54
schon	Ist sie schon da?	Is she here yet?	54
schon	Schon gut!	That's all right.	54
sein	Das kann nicht sein!	It can't be!	56
sein	Wie kann das sein?	How can it be?	56
sein	Was kann das nur sein?	What ever can that be?	56
aber	„Das kann nicht sein!“ – „Aber so ist es!“	"""This cannot be!"" ""But it is!"""	56
aber	„Das kann nicht sein!“ – „Es ist aber so!“	"""This cannot be!"" ""But it is!"""	56
jetzt	Nicht jetzt!	Not now!	58
jetzt	Ich kann das jetzt nicht.	I can't deal with this right now.	58
jetzt	Es ist jetzt da.	It's there now.	58
ihn	Wir haben ihn!	We have him!	59
ihn	Wir haben ihn.	We've got it.	59
dann	Und dann?	And then?	60
dann	Und was dann?	And then what?	60
dann	Wenn der das kann, dann kann ich das auch.	If he can do it, so can I.	60
wenn	Wenn der das kann, dann kann ich das auch.	If he can do it, so can I.	60
meine	Ich meine es so!	I mean it!	62
meine	Ich meine dich nicht.	I don't mean you.	62
meine	Ich meine Sie nicht.	I don't mean you.	62
um	Es ist schon um 7.	It's already seven.	63
wird	So wird es nicht sein.	It's not going to be like that.	64
wird	Wie wird es sein?	What's it going to be like?	64
wird	Was wird es sein?	What's it going to be?	64
bist	Nein, ich bin es nicht, du bist es!	No I'm not; you are!	66
bist	Bist du von hier?	Are you from here?	66
bist	Du bist der eine.	You are the one.	66
mein	Du bist mein.	You're mine.	66
doch	Das ist doch was!	This really is something.	67
doch	"""Das kann nicht sein!"" ""Doch."""	"""No way!"" ""Way."""	67
doch	Ich kann es doch nicht.	I can't do it after all.	67
alles	Du bist alles für mich.	You are everything to me.	68
alles	Das ist alles.	That's all.	68
alles	Alles ist gut.	It's all right.	68
aus	Jetzt ist alles aus!	It's all over now.	68
ihn	Sie ist alles für ihn.	She is everything to him.	68
aus	Alles ist aus.	Everything is gone.	68
mein	Du bist mein Ein und Alles.	You are everything to me.	68
mein	Sie war mein ein und alles.	She was everything to me.	68
weiß	Ich weiß nicht.	I have no idea.	69
weiß	Ich weiß nur das.	I know only this.	69
weiß	Ich weiß.	I know.	69
in	Ich weiß, daß du es in dir hast!	I know you have that in you.	69
sich	Ich weiß, daß Sie es in sich haben!	I know you have that in you.	69
in	Ich weiß, daß Sie es in sich haben!	I know you have that in you.	69
keine	Du bist keine 30.	You're not thirty.	70
keine	Sie hat keine.	She hasn't got any.	70
oder	Ja oder nein?	Yes or no?	71
oder	Sein oder nicht sein?	To be or not to be?	71
oder	Du oder ich?	You or I?	71
nichts	Sie ist nichts für ihn.	She is nothing to him.	73
nichts	Mit mir ist nichts.	Nothing is the matter with me.	73
nichts	Ich weiß, dass ich nichts weiß.	I know that I know nothing.	73
aus	Aus nichts wird nichts.	From nothing comes nothing.	73
muss	So muss es sein.	That's how it should be.	74
muss	Es muss hier sein.	It must be here.	74
muss	Es muss jetzt sein.	It's got to be now.	74
mal	Ich muss mal!	I need the loo!	74
mal	Ich muß mal.	I need a bathroom.	74
nach	Ich muss nach...	I need to get to...	74
man	Wenn man muss, muss man.	If you must, you must.	75
wenn	Wenn man muss, muss man.	If you must, you must.	75
man	Das weiß man.	That's common knowledge.	75
man	Man ist, was man ist.	You can't help being what you are.	75
