word	sentence	translation	difficulty_rank	gloss
ya	Si ya maana.	It's not important.	55	NEG.COP · CL9.of · CL9.significance
maana	Si ya maana.	It's not important.	55	NEG.COP · CL9.of · CL9.significance
si	Si ya maana.	It's not important.	55	NEG.COP · CL9.of · CL9.significance
wewe	Wewe si mtu.	You're not a man.	71	2SG · NEG.COP · CL1.person
si	Wewe si mtu.	You're not a man.	71	2SG · NEG.COP · CL1.person
mtu	Wewe si mtu.	You're not a man.	71	2SG · NEG.COP · CL1.person
mimi	Wala si mimi.	Me neither.	72	nor · NEG.COP · 1SG
wala	Wala si mimi.	Me neither.	72	nor · NEG.COP · 1SG
si	Wala si mimi.	Me neither.	72	nor · NEG.COP · 1SG
wote	Wote ndani!	All aboard!	77	CL2.all · inside
ndani	Wote ndani!	All aboard!	77	CL2.all · inside
sisi	Sisi ni wanafunzi.	We are students.	78	1PL · COP · CL2.student
ni	Sisi ni wanafunzi.	We are students.	78	1PL · COP · CL2.student
wanafunzi	Sisi ni wanafunzi.	We are students.	78	1PL · COP · CL2.student
habari	Habari?	How are things?	82	CL9.news
jambo	Jambo!	Hi!	100	CL5.matter
nini	Nini?	What?	108	what
kwa	Kwa nini!?	Why!	108	for · what
nini	Kwa nini!?	Why!	108	for · what
ni	Mtu ni mwenye nguvu.	The man is strong.	112	CL1.person · COP · CL1.having · CL9.strength
nguvu	Mtu ni mwenye nguvu.	The man is strong.	112	CL1.person · COP · CL1.having · CL9.strength
mwenye	Mtu ni mwenye nguvu.	The man is strong.	112	CL1.person · COP · CL1.having · CL9.strength
mtu	Mtu ni mwenye nguvu.	The man is strong.	112	CL1.person · COP · CL1.having · CL9.strength
sana	Wewe unahaya sana	You're very shy.	123	2SG · 2SG.with.shyness · very
wewe	Wewe unahaya sana	You're very shy.	123	2SG · 2SG.with.shyness · very
haya	Wewe unahaya sana	You're very shy.	123	2SG · 2SG.with.shyness · very
fanya	Unafanya nini?	What are you doing?	128	2SG.PRES.do · what
nini	Unafanya nini?	What are you doing?	128	2SG.PRES.do · what
alikuwa	Kila mtu alikuwa akifanya hivyo.	Everyone was doing it.	128	every · CL1.person · 3SG.PST.be · 3SG.PROG.do · CL8.thus
