word	reading
אב	áv
אבא	ába
אבד	avád
אבות	avót
אבטחה	avtakhá
אבי	ávi
אביב	avív
אביו	avív
אביר	abír
אבל	avál
אבן	éven
אבק	avák
אגודת	agudát
אגם	agám
אגן	agán
אגף	agáf
אגר	agár
אד	ed
אדום	adóm
אדון	adón
אדוני	adonáy
אדיר	adír
אדם	adám
אדמה	adamá
אדמת	adémet
אהבה	ahavá
אהוב	ahúv
או	'o
אובדן	ovdán
אובייקט	obyékt
אוד	ud
אוהב	ohév
אוהבת	ohévet
אוויר	avír
אוזן	ózen
אוטו	óto
אוטובוס	ótobus
אויב	oyév
אוכל	ókhel
אוכלוסייה	ukhlusiyá
אולי	ulái
אולימפי	olímpi
אולם	ulám
אומנות	umanút
אומץ	ʾómets
אומר	'ómer
אומרים	omrím
אוניברסיטה	univérsita
אוסף	'ósef
אופי	ófi
אופייני	ofyaní
אופן	ófen
אופנה	ofná
אופניים	ofanáyim
אופק	ófek
אוצר	otsár
אוקראינה	ukra'ína
אור	'ór
אורז	órez
אורח	oréakh
אורי	urí
אורך	órekh
אורן	óren
אושר	'ósher
אות	ot
אותה	otáh
אותו	otó
אותות	otót
אותי	otí
אותיות	otiyót
אותך	otkhá
אותם	otám
אותן	otán
אותנו	otánu
אז	az
אזהרה	az'hará
אזור	ezór
אזורי	azorí
אזרח	ezrákh
אזרחות	ezrakhút
אזרחי	ezrakhí
אח	ákh
אחד	ekhád
אחדות	akhdút
אחדים	akhadím
אחוז	akhúz
אחוזים	akhuzím
אחורה	akhóra
אחות	akhót
אחי	akhí
אחיד	akhíd
אחיו	echáv
אחיות	akhayót
אחיזה	akhiza
אחים	akhím
אחל	ikhél
אחר	achár
אחראי	akhra'i
אחרון	akharón
אחרות	akherót
אחרי	akharéi
אחריות	akharayút
אחרים	akherím
אחרת	akhéret
אחת	akhát
אחת עשרה	'akhát 'esré
אט	at
אטום	atom
אי	í
איבד	ibéd
איום	ayóm
איור	iyúr
איזה	éize
איזו	éizo
איחוד	ikhúd
איטי	ití
איטלקית	italkít
איטר	itér
איי	iyé
אייל	ayál
איים	iyém
איך	ekh
איכות	ekhút
אילו	éilu
אילן	ilán
אילת	ēlát
אים	ayóm
אימה	eimá
אימוץ	imuts
אימייל	ímeil
אימן	imén
אימץ	ʾiméts
אין	en
אינה	eináh
אינו	einó
אינטרנט	ínternet
אינך	ein'khá
אינם	einám
אינן	einán
אינסופי	ensofí
איסוף	isúf
איסור	isúr
איפה	efó
איר	iyár
אירו	eiro
אירוע	erúa
אירופה	erópa
איש	ish
אישה	ishá
אישום	'ishúm
אישי	ishí
אישיות	ishiyút
אישית	'ishít
אישר	ishér
איתה	itáh
איתו	itó
איתי	ití
איתם	itám
איתן	etán
איתנו	itánu
אך	akh
אכול	akhúl
אכזב	akhzáv
אכילה	akhilá
אכל	akhál
אכן	akhén
אל	el
אלא	éla
אלבום	albóm
אלבומים	albomím
אלה	éle
אלו	élu
אלוהים	elohím
אלון	alón
אלוף	alúf
אלי	elí
אליה	'eléha
אליהם	alehém
אליהן	alehén
אליו	eláv
אליי	eláy
אלים	alím
אלימות	alimút
אליפות	alifút
אלמנט	element
אלף	élef
אלפא	álfa
אלפי	al'fé
אלפים	alafím
אם	em
אמא	íma
אמבטיה	ambátya
אמה	amá
אמו	imó
אמון	emún
אמונה	emuná
אמור	amúr
אמין	amín
אמיתי	amití
אמן	amén
אמנות	omanút
אמנותי	omanutí
אמנם	omnám
אמפתיה	empátya
אמץ	'iméts
אמצע	emtsá'
אמר	amár
אמריקאי	amerikái
אמריקאית	amerikaít
אמריקה	amérika
אמש	émesh
אמת	emét
אן	ón
אנגליה	ángliya
אנגלית	ang'lít
אנה	'ána
אנו	ánu
אנוש	enósh
אנושות	enoshút
אנושי	enoshí
אנחנו	anákhnu
אני	aní
אנרגיה	enérgiya
אנשי	anshé
אנשים	anashím
אסון	asón
אסור	asúr
אסטרטגיה	astratégya
אסיר	asír
אסף	asáf
אספירין	aspirín
אספקה	aspaká
אסר	asár
אף	af
אף אחד	af ekhád
אף פעם	af pá'am
אפור	afór
אפילו	afílu
אפיפיור	apifyór
אפליה	aflayá
אפליקציה	aplikátsya
אפס	éfes
אפקט	efékt
אפריל	apríl
אפשר	efshár
אפשרות	efsharút
אפשרי	efsharí
אץ	'áts
אצבע	étsba
אצולה	atsulá
אצטדיון	itstadyón
אציל	atsíl
אצל	'étsel
אצלו	etsló
אקדח	ekdákh
אקלים	aklím
אקשיב	akshív
ארבע	arbá'
ארבעה	arba'á
ארבעים	arba'ím
ארבעת	arbá'at
ארגון	ʾargewán
ארגן	irgén
ארד	arád
ארוחה	arukhá
ארוחת	arukhát
ארוחת בוקר	arukhát bóker
ארוחת ערב	arukhát érev
ארוחת צהריים	arukhát tsohoráyim
ארוך	arókh
אריה	aryé
ארך	érekh
ארמון	armón
ארנק	arnák
ארץ	érets
ארצה	ertsé
ארצות	aratsót
ארצי	artsí
אש	esh
אשכול	eshkól
אשמה	ashmá
אשמתה	ashmatá
אשמתו	ashmató
אשר	ashér
אשת	éshet
אשתו	ishtó
את	et
אתגר	etgár
אתה	atá
אתכם	etkhém
אתם	atém
אתמול	etmól
אתן	atén
אתר	atár
ב	b
בא	ba
באה	báa
באו	báu
באים	ba'ím
באמת	be'emét
באר	be'ér
באש	ba'ásh
באשר	ba'ashér
בבקשה	b'vakashá
בגד	bagád
בגדים	b'gadim
בגלל	biglál
בד	bad
בדה	badá
בדיוק	b'diyúk
בדיקה	b'diká
בדל	b'dál
בהחלט	b'hekhlét
בהיר	bahír
בהירה	behirá
בהירות	b'hirút
בהכרח	b'hekhréakh
בהם	bahém
בהן	bóhen
בהצלחה	b'hatzlakhá
בהרבה	b'harbé
בהתאמה	b'hat'amá
בהתחלה	b'hatkhalá
בו	bo
בוא	bó
בוגר	bogér
בודד	bodéd
בוודאות	b'vada'út
בוודאי	b'vadáy
בוחן	bokhén
בוטל	butál
בול	búl
בולט	bolét
בונה	bōnɛ̂
בוסטון	bóston
בוקר	bóker
בוש	bosh
בזה	báza
בזכות	bizkhút
בזמן	bazmán
בזמנו	bizmanó
בחוץ	bakhúts
בחור	bakhúr
בחינם	b'khinám
בחירה	b'khirá
בחירות	b'khirót
בחן	bakhán
בחר	bakhár
בטוח	batúakh
בטון	betón
בטח	bétakh
בטיחות	b'tikhút
בטן	béten
בטעות	b'ta'út
בי	bí
ביותר	b'yotér
ביחד	b'yákhad
ביט	bit
ביטוח	bitúakh
ביטוי	bitúi
ביטול	bitúl
ביטחון	bitakhón
ביטל	bitél
ביי	báy
בייחוד	b'yikhúd
ביים	biyém
בילה	bilá
בין	ben
בינה	biná
בינוני	benoní
בינלאומי	beinl'umí
בינתיים	beintáyim
ביער	bi'ér
ביצה	betsá
ביצוע	bitsúa
ביצים	beytsim
ביצע	bitséa
ביקור	bikúr
ביקורת	bikóret
ביקר	bikér
ביקש	bikésh
בירה	birá
בישול	bishúl
בית	báyit
בית חולים	bet kholím
בית ספר	bet séfer
ביתה	betáh
