word	sentence	translation
fi	Mâine va fi o zi frumoasă.	Tomorrow will be a beautiful day.
fi	Nu poate fi adevărat.	It cannot be true.
fi	Filmul va fi foarte lung.	The film will be very long.
fi	Poate fi greu la început.	It can be hard at the beginning.
fi	Vremea va fi caldă vara.	The weather will be warm in the summer.
fi	A fi sincer este important.	Being honest is important.
avea	Va avea o casă nouă.	He will have a new house.
avea	Poate avea dreptate.	He may be right.
avea	Vom avea timp mâine.	We will have time tomorrow.
avea	Vor avea un copil.	They are going to have a child.
avea	A avea prieteni este o bucurie.	Having friends is a joy.
avea	Va avea nevoie de ajutor.	She will need help.
face	Ce va face mâine?	What will he do tomorrow?
face	Pot face asta singur.	I can do that by myself.
face	Vom face o prăjitură.	We will make a cake.
face	El va face curat în casă.	He will clean the house.
face	Ea poate face orice.	She can do anything.
face	A face sport este sănătos.	Doing sports is healthy.
merge	Pot merge pe jos.	I can go on foot.
merge	Vom merge la mare vara asta.	We will go to the seaside this summer.
merge	Trenul va merge direct la București.	The train will go directly to Bucharest.
merge	Copiii vor merge la școală.	The children will go to school.
merge	El poate merge mai repede.	He can walk faster.
merge	Va merge la doctor mâine.	She will go to the doctor tomorrow.
vrea	El vrea o cafea.	He wants a coffee.
vrea	Ea vrea să plece acasă.	She wants to go home.
vrea	Copilul vrea o jucărie nouă.	The child wants a new toy.
vrea	Cine vrea înghețată?	Who wants ice cream?
vrea	Nimeni nu vrea să aștepte.	Nobody wants to wait.
vrea	Pisica vrea să iasă afară.	The cat wants to go outside.
putea	Va putea veni mâine.	He will be able to come tomorrow.
putea	Aș putea să te ajut.	I could help you.
putea	Nu va putea ajunge la timp.	She will not be able to arrive on time.
putea	Ai putea vorbi mai încet?	Could you speak more slowly?
putea	Am putea merge împreună.	We could go together.
putea	A putea alege este un lux.	Being able to choose is a luxury.
ști	Va ști răspunsul mâine.	He will know the answer tomorrow.
ști	Nu poți ști niciodată.	You can never know.
ști	Cum poți ști sigur?	How can you know for sure?
ști	Va ști ce să facă.	She will know what to do.
ști	Nimeni nu poate ști viitorul.	Nobody can know the future.
ști	E greu a ști adevărul.	It is hard to know the truth.
vedea	Vom vedea filmul diseară.	We will see the film tonight.
vedea	Pot vedea marea de aici.	I can see the sea from here.
vedea	Vei vedea că totul va fi bine.	You will see that everything will be fine.
vedea	De aici poți vedea tot orașul.	From here you can see the whole city.
vedea	Va vedea doctorul azi.	He will see the doctor today.
vedea	Ne vom vedea curând.	We will see each other soon.
mânca	Vom mânca la restaurant.	We will eat at a restaurant.
mânca	Pot mânca orice.	I can eat anything.
mânca	Va mânca mai târziu.	He will eat later.
mânca	A mânca sănătos este important.	Eating healthy is important.
mânca	Nu poți mânca doar dulciuri.	You cannot eat only sweets.
mânca	Vor mânca împreună diseară.	They will eat together tonight.
bea	El bea cafea în fiecare dimineață.	He drinks coffee every morning.
bea	Pisica bea lapte.	The cat drinks milk.
bea	Ea bea doar apă.	She drinks only water.
bea	Vom bea un ceai împreună.	We will drink a tea together.
bea	Nu poți bea apa asta.	You cannot drink this water.
bea	Bunicul bea un pahar de vin.	Grandpa drinks a glass of wine.
vorbi	Pot vorbi trei limbi.	I can speak three languages.
vorbi	Vom vorbi mâine despre asta.	We will talk about it tomorrow.
vorbi	Poți vorbi mai tare?	Can you speak louder?
vorbi	Va vorbi cu directorul.	He will speak with the director.
vorbi	Nu se poate vorbi aici.	One cannot talk in here.
vorbi	Vor vorbi la telefon diseară.	They will talk on the phone tonight.
casă	Avem o casă mică la țară.	We have a small house in the countryside.
casă	Ce casă frumoasă!	What a beautiful house!
casă	Vecinii construiesc o casă nouă.	The neighbours are building a new house.
casă	Visez la o casă lângă mare.	I dream of a house by the sea.
casă	Fiecare casă are o poveste.	Every house has a story.
casă	Au cumpărat o casă veche.	They bought an old house.
apă	Beau multă apă în fiecare zi.	I drink a lot of water every day.
apă	Vreau un pahar cu apă, te rog.	I want a glass of water, please.
apă	Nu mai avem apă rece.	We have no cold water left.
apă	Plantele au nevoie de apă.	Plants need water.
apă	E doar apă și săpun.	It is just water and soap.
apă	Fântâna are apă limpede.	The well has clear water.
om	Este un om bun.	He is a good man.
om	Un om așteaptă la ușă.	A man is waiting at the door.
om	Fiecare om are o părere.	Every person has an opinion.
om	E un om de cuvânt.	He is a man of his word.
om	Un om înțelept m-a sfătuit.	A wise man advised me.
om	Niciun om nu e perfect.	No man is perfect.
zi	Ce zi frumoasă!	What a beautiful day!
zi	Într-o zi vom călători în Japonia.	One day we will travel to Japan.
zi	Fiecare zi aduce ceva nou.	Every day brings something new.
zi	A fost o zi lungă.	It was a long day.
zi	Mâine e o zi liberă.	Tomorrow is a day off.
zi	O zi bună începe cu un mic dejun.	A good day starts with breakfast.
carte	Citesc o carte interesantă.	I am reading an interesting book.
carte	Mi-a dat o carte cadou.	He gave me a book as a present.
carte	Această carte are trei sute de pagini.	This book has three hundred pages.
carte	Caut o carte despre istorie.	I am looking for a book about history.
carte	O carte bună te schimbă.	A good book changes you.
carte	Ce carte citești acum?	What book are you reading now?
oraș	Locuiesc într-un oraș mic.	I live in a small city.
oraș	Acest oraș are un centru vechi.	This city has an old centre.
oraș	Vizităm un oraș nou în fiecare an.	We visit a new city every year.
oraș	E cel mai frumos oraș din țară.	It is the most beautiful city in the country.
oraș	S-au mutat într-un alt oraș.	They moved to another city.
oraș	Un oraș mare are multe muzee.	A big city has many museums.
prieten	Am un prieten în Cluj.	I have a friend in Cluj.
prieten	Un prieten adevărat te ascultă.	A true friend listens to you.
prieten	El este cel mai bun prieten al meu.	He is my best friend.
prieten	Mi-am făcut un prieten nou.	I made a new friend.
prieten	Un prieten m-a ajutat cu mutarea.	A friend helped me with the move.
prieten	Orice prieten e binevenit aici.	Any friend is welcome here.
copil	Un copil se joacă în parc.	A child is playing in the park.
copil	Fiecare copil are talent.	Every child has talent.
copil	Acest copil pune multe întrebări.	This child asks many questions.
copil	Un copil are nevoie de somn.	A child needs sleep.
copil	Eram doar un copil atunci.	I was just a child back then.
copil	Un copil fericit râde des.	A happy child laughs often.
masă	Cartea este pe masă.	The book is on the table.
masă	Punem florile pe masă.	We put the flowers on the table.
masă	Avem o masă rotundă în bucătărie.	We have a round table in the kitchen.
masă	Cina e pe masă!	Dinner is on the table!
