rank	word	pos	en
1	그	det	that (of what has been already said or known)
2	우리	pron	"we, us; our — often where English says ""my"" (our house, our mom)"
3	당신	pron	second person singular plain pronoun; you
4	내가	pron	allomorph of 나 (na, “(informal) I”) before -가 (-ga, “nominative case marker”)
5	수	noun	can, be able to (in -(으)ㄹ 수 있다/없다); number, count
6	안	noun	inside; interior
7	난	pron	I, I'm (casual) — 나 with the topic marker 는, shortened
8	내	det	my (casual, short for 나의); I (in 내가)
9	이	det	this (before a noun); subject marker after a consonant; tooth
10	있다	verb	to stay, remain in a location
11	네	intj	yes; your (casual, short for 너의); four (before a counter)
12	그래	adv	like this, like that
13	거야	noun	last night, yesterday evening
14	좀	adv	a little, a bit (short for 조금); also the softener in a request or command, roughly just or please
15	제	det	my (polite, short for 저의); I (in 제가)
16	것	noun	thing; an object belonging to an owner
17	있어	verb	there is, there are; to have; to stay, be in a place (있다, intimate style)
18	나	pron	I, me; the first-person singular plain (non-polite) pronoun
19	왜	adv	"why, how come; on its own, a casual ""what is it?"" when answering someone calling you"
20	여기	pron	here
21	더	adv	more, -er (to a greater extent)
22	전	pron	I, I'm (polite, short for 저는); before, ago; former, ex-
23	그리고	adv	and, also, in addition (often used at the beginning of a sentence)
24	사람	noun	human being, person
25	지금	adv	now, right now, at the moment; the present time, the current moment
26	다	adv	all, completely
27	무슨	det	what, what kind of
28	잘	adv	well; often
29	한	num	one (as a determiner numeral before a noun or classifier)
30	하지만	adv	but, however
31	어떻게	adv	how, in what way; by what means; how come (in a surprised question)
32	할	noun	a tenth
33	정말	adv	really; truly
34	그럼	adv	then, in that case
35	그냥	adv	simply; just like that; just as it is.
36	말	noun	speech; language
37	게	noun	the fact that, the one that — 것이 contracted (거 plus the subject marker 이), after a -는/-은/-을 form: 가는 게 좋아요; a crab
38	거	noun	thing, one; the fact that (spoken form of 것; in 할 거예요 it marks the future)
39	없다	adj	to have none; (to be) lacking; (to be) nonexistent
40	해	verb	do, does, do it — 하다 in the intimate style (다시 해, do it again), and the base of 해요/했어요; the sun, sunlight
41	건	verb	the thing that, the fact that, as topic — 것은 contracted (거 plus the topic marker 은); also rich, fertile — 걸다 in the determiner form
42	저	det	that (distal determiner)
43	너	pron	you (intimate style, for close friends and juniors; never to an elder)
44	날	noun	day (twenty-four hours, a thirtieth of the month)
45	이제	noun	now, and now
46	넌	verb	past determiner of 널다 (neolda)
47	아니	adv	no; not
48	엄마	noun	mum, mummy
49	때	noun	time; occasion; opportunity
50	그게	pron	that thing (as the subject of the sentence or clause)
51	걸	noun	the fact that, the one that, as object — 것을 contracted (거 plus the object marker 를); also the guess ending -(으)ㄹ걸, I bet, probably; 3 points in the game of yut
52	일	noun	work (activity done for compensation or reward)
53	네가	pron	allomorph of 너 (neo, “(informal) you”) before -가 (-ga, “nominative case marker”)
54	돼	verb	infinitive of 되다 (doeda)
55	못	noun	nail, peg, spike
56	우린	noun	topic-marked form of 우리 (uri)
57	사람들	noun	plural of 사람 (saram): people, persons
58	좋아	adj	infinitive of 좋다 (jota, “to be good”)
