word	sentence	translation	difficulty_rank
che	Che?	What?	3
è	Che è?	What is it?	3
che	Che è?	What is it?	3
non	Non c'è di che.	Don't mention it.	4
di	Non c'è di che.	Don't mention it.	4
è	Non c'è di che.	Don't mention it.	4
che	Non c'è di che.	Don't mention it.	4
una	È l'una.	It's one o'clock.	11
è	È l'una.	It's one o'clock.	11
sono	Sono.	They are.	13
sono	Che sono?	What am I?	13
ho	Ho 300$.	I have $300.	14
ho	L'ho!	I have it!	14
ho	La ho!	I have it!	14
la	La ho!	I have it!	14
ma	Ma non c'è.	But you're not there.	17
non	Ma non c'è.	But you're not there.	17
lo	Lo sono?	They are?	18
sono	Lo sono?	They are?	18
lo	Lo sono.	They are.	18
lo	Lo sono!	I am!	18
non	Non lo è.	You are not.	18
cosa	Cosa?	What?	19
cosa	È cosa?	You're what?	19
cosa	Per cosa?	For what?	19
per	Per cosa?	For what?	19
e	E per cosa?	And for what?	19
per	E per cosa?	And for what?	19
ha	Cosa non ha?	What don't you have?	19
e	E cosa?	And what?	19
no	No?	No?	21
no	No, no, no!	No, no, no!	21
e	No, no e no!	No, no, and furthermore, no!	21
no	No, no e no!	No, no, and furthermore, no!	21
le	Sono le 3:30.	It's 3:30.	22
le	Sono le 7:45.	It is 7:45.	22
le	Le ho.	I've got them.	22
come	Come?	How?	27
io	Sono io.	It's me.	28
io	Sono io!	I am!	28
io	Io lo sono!	I am!	28
ci	Ci sono.	I'm there.	29
hai	Cosa non hai?	What don't you have?	30
questo	Questo sono io!	This is me.	31
bene	Bene!	Fine!	32
bene	Bene.	Good.	32
qui	Non è qui.	She's not here.	33
qui	È qui?	Is it here?	33
qui	Sono qui.	They are here.	33
ma	Ma non è qui.	But he isn't here.	33
sei	Sei cosa?	You're what?	34
ma	Ma non ci sei.	But you're not there.	34
sei	Ma non ci sei.	But you're not there.	34
ci	Ma non ci sei.	But you're not there.	34
sei	Sono le sei.	It's six o'clock.	34
ci	Ci sei?	Are you there?	34
tu	No, non io, tu!	No, not me, you!	35
tu	No, non sono io, sei tu!	No I'm not; you are!	35
bene	Bene. E tu?	Fine. And you?	35
tu	Bene. E tu?	Fine. And you?	35
hai	Tu cosa non hai?	What don't you have?	35
o	Tu o io?	You or I?	35
questo	Questo sei tu?	Is this you?	35
solo	Sei da solo?	Are you alone?	36
da	Sei da solo?	Are you alone?	36
solo	Sei solo?	Are you alone?	36
