word	sentence	translation
jo	Jo soc català.	I am Catalan.
tu	Tu parles català?	Do you speak Catalan?
ell	Ell viu a Barcelona.	He lives in Barcelona.
nosaltres	Nosaltres mengem junts.	We eat together.
ser	Vull ser metge.	I want to be a doctor.
tenir	M'agradaria tenir un gos.	I would like to have a dog.
anar	Vull anar a casa.	I want to go home.
menjar	M'agrada menjar fruita.	I like to eat fruit.
beure	He de beure aigua.	I have to drink water.
voler	Voler és poder.	Where there's a will, there's a way.
veure	Vull veure una pel·lícula.	I want to see a movie.
dir	Què vols dir?	What do you mean?
aigua	L'aigua és freda.	The water is cold.
aliment	L'aliment és sa.	The food is healthy.
casa	La meva casa és petita.	My house is small.
persona	És una bona persona.	She is a good person.
dia	Avui és un bon dia.	Today is a good day.
sí	Sí, hi estic d'acord.	Yes, I agree.
no	No tinc temps.	I don't have time.
gràcies	Moltes gràcies per tot.	Thank you very much for everything.
aprendre	Vull aprendre català.	I want to learn Catalan.
parlar	M'agrada parlar amb tu.	I like to talk with you.
entendre	No puc entendre això.	I can't understand this.
saber	Vull saber la veritat.	I want to know the truth.
escriure	He d'escriure una carta.	I have to write a letter.
llegir	M'agrada llegir al vespre.	I like to read in the evening.
llibre	Aquest llibre és interessant.	This book is interesting.
llengua	El català és una llengua bonica.	Catalan is a beautiful language.
gran	La ciutat és molt gran.	The city is very big.
bo	El cafè és molt bo.	The coffee is very good.
jo	Jo treballo a casa avui.	I am working from home today.
jo	Jo no bec cafè.	I don't drink coffee.
jo	Jo llegeixo cada vespre.	I read every evening.
jo	Jo també vull venir.	I want to come too.
jo	Jo parlo una mica de català.	I speak a little Catalan.
tu	Tu ets el meu millor amic.	You are my best friend.
tu	On vius tu?	Where do you live?
tu	Tu vols un te?	Do you want a tea?
tu	Tu sempre arribes aviat.	You always arrive early.
tu	Per què rius tu?	Why are you laughing?
ell	Ell és metge.	He is a doctor.
ell	Ell no menja carn.	He doesn't eat meat.
ell	Ell treballa de nit.	He works at night.
ell	Ell llegeix el diari cada matí.	He reads the newspaper every morning.
ell	Ve ell amb nosaltres?	Is he coming with us?
nosaltres	Nosaltres vivim a Girona.	We live in Girona.
nosaltres	Nosaltres estudiem junts.	We study together.
nosaltres	Nosaltres no tenim pressa.	We are not in a hurry.
nosaltres	Nosaltres marxem demà al matí.	We leave tomorrow morning.
nosaltres	Nosaltres parlem català a classe.	We speak Catalan in class.
ser	Ella vol ser metgessa.	She wants to be a doctor.
ser	És important ser puntual.	It's important to be punctual.
ser	Ha de ser difícil.	It must be difficult.
ser	Vull ser sincer.	I want to be honest.
ser	Serà un dia llarg, ha de ser així.	It will be a long day, it has to be so.
tenir	Voldria tenir un gos.	I would like to have a dog.
tenir	Cal tenir paciència.	One must have patience.
tenir	Espero tenir temps demà.	I hope to have time tomorrow.
tenir	És útil tenir un mapa.	It's useful to have a map.
tenir	Vol tenir una casa vora el mar.	She wants to have a house by the sea.
anar	He d'anar al metge.	I have to go to the doctor.
anar	Vols anar al cinema?	Do you want to go to the cinema?
anar	M'agrada anar a la platja.	I like going to the beach.
anar	Volen anar amb tren.	They want to go by train.
anar	És hora d'anar cap a casa.	It's time to go home.
menjar	Vols menjar alguna cosa?	Do you want to eat something?
menjar	Anem a menjar a les dues.	We're going to eat at two.
menjar	És sa menjar verdura.	It's healthy to eat vegetables.
menjar	No puc menjar més.	I can't eat any more.
menjar	Aquest vespre anem a menjar fora.	Tonight we're eating out.
beure	Cal beure molta aigua.	One must drink a lot of water.
beure	Què vols beure?	What do you want to drink?
beure	Prefereixo beure te.	I prefer to drink tea.
beure	No vull beure cafè al vespre.	I don't want to drink coffee in the evening.
beure	Li agrada beure un cafè al matí.	She likes having a coffee in the morning.
voler	Voler és poder.	Where there's a will, there's a way.
voler	No es pot voler tot.	One can't want everything.
voler	Què pot voler de mi?	What can he want from me?
voler	Sense voler, ha trencat el got.	Without meaning to, he broke the glass.
voler	Poden voler més temps.	They may want more time.
veure	Vull veure aquella pel·lícula.	I want to see that film.
veure	Pots veure el mar des d'aquí?	Can you see the sea from here?
veure	Anem a veure què passa.	Let's go see what's happening.
veure	Hi ha molt per veure a Barcelona.	There is a lot to see in Barcelona.
veure	Voldria veure la carta.	I would like to see the menu.
dir	No sé què dir.	I don't know what to say.
dir	Cal dir la veritat.	One must tell the truth.
dir	Et vull dir una cosa.	I want to tell you something.
dir	És difícil de dir.	It's hard to say.
dir	Pots dir el que penses.	You can say what you think.
aigua	Hi ha aigua a l'ampolla?	Is there water in the bottle?
aigua	Bec aigua amb els àpats.	I drink water with meals.
