word	sentence	translation
ben	Ben bir öğrenciyim.	I am a student.
sen	Sen Türkçe biliyor musun?	Do you speak Turkish?
su	Su çok soğuk.	The water is very cold.
ev	Bu ev büyük.	This house is big.
kitap	Bu kitap çok güzel.	This book is very nice.
gün	Bugün güzel bir gün.	Today is a nice day.
evet	Evet, katılıyorum.	Yes, I agree.
hayır	Hayır, vaktim yok.	No, I don't have time.
iyi	Kahve çok iyi.	The coffee is very good.
büyük	Şehir çok büyük.	The city is very big.
yemek	Yemek hazır.	The food is ready.
dil	Türkçe güzel bir dil.	Turkish is a beautiful language.
okul	Okul büyük.	The school is big.
anne	Annem evde.	My mother is at home.
baba	Babam çalışıyor.	My father is working.
kadın	O iyi bir kadın.	She is a good woman.
adam	O iyi bir adam.	He is a good man.
çocuk	Çocuk uyuyor.	The child is sleeping.
arkadaş	İyi bir arkadaş.	A good friend.
zaman	Zaman çok hızlı.	Time is very fast.
bir	Bir kahve istiyorum.	I want a coffee.
bir	Masada bir kitap var.	There is a book on the table.
bir	Bir gün İstanbul'a gideceğim.	One day I will go to Istanbul.
bir	Sadece bir sorum var.	I have only one question.
bir	Bir dakika bekler misin?	Can you wait a minute?
bir	O çok iyi bir öğretmen.	He is a very good teacher.
ve	Annem ve babam evde.	My mother and father are at home.
ve	Çay ve kahve içiyoruz.	We are drinking tea and coffee.
ve	Okula gittim ve ders çalıştım.	I went to school and studied.
ve	Ekmek ve süt aldım.	I bought bread and milk.
ve	Yaz ve kış burada yaşıyoruz.	We live here summer and winter.
ve	Kitap okumak ve yazmak seviyorum.	I love reading and writing.
on	Saat on.	It is ten o'clock.
on	On yıl önce buraya taşındık.	We moved here ten years ago.
on	Sınıfta on öğrenci var.	There are ten students in the class.
on	Toplantı on dakika sürdü.	The meeting lasted ten minutes.
on	On lira yeter mi?	Is ten lira enough?
on	Otobüs on numaradan kalkıyor.	The bus leaves from platform ten.
de	Ben de geliyorum.	I am coming too.
de	Sen de çay ister misin?	Would you like tea as well?
de	Ankara'ya da İzmir'e de gittim.	I went to both Ankara and Izmir.
de	Bugün de yağmur yağıyor.	It's raining today as well.
de	Kardeşim de Türkçe öğreniyor.	My sibling is also learning Turkish.
de	Bu kitabı ben de okudum.	I have read this book too.
o	O benim arkadaşım.	He/she is my friend.
o	O çok güzel bir şehir.	That is a very beautiful city.
o	O her sabah koşuyor.	He/she runs every morning.
o	O gün hava çok soğuktu.	That day the weather was very cold.
o	O ne dedi?	What did he/she say?
o	O ev bizim.	That house is ours.
şey	Bir şey söylemek istiyorum.	I want to say something.
şey	Her şey yolunda.	Everything is fine.
şey	Bu şey ne işe yarıyor?	What is this thing for?
şey	Hiçbir şey görmedim.	I didn't see anything.
şey	Tatlı bir şey yiyelim.	Let's eat something sweet.
şey	Önemli olan şey sağlık.	The important thing is health.
evet	Evet, yarın geliyorum.	Yes, I'm coming tomorrow.
evet	Evet, Türkçe biliyorum.	Yes, I know Turkish.
evet	Evet, haklısın.	Yes, you are right.
evet	Evet ya da hayır de.	Say yes or no.
evet	Evet, bu benim çantam.	Yes, this is my bag.
da	Murat da bizimle geliyor.	Murat is coming with us too.
da	O da bizimle çalışıyor.	He also works with us.
da	Bu da güzel bir fikir.	This is also a good idea.
da	Yarın da buradayım.	I am here tomorrow as well.
da	Onlar da sinemaya geliyor.	They are coming to the cinema too.
da	Ankara'da da kar yağıyor.	It's snowing in Ankara too.
iş	Bugün iş çok yoğun.	Work is very busy today.
iş	Yeni bir iş arıyorum.	I am looking for a new job.
iş	Bu iş kolay değil.	This job is not easy.
iş	İyi bir iş buldu.	He found a good job.
iş	İş saat dokuzda başlıyor.	Work starts at nine.
iş	İş bugün erken bitti.	Work finished early today.
yok	Evde ekmek yok.	There is no bread at home.
yok	Bugün dersim yok.	I have no class today.
yok	Cebimde para yok.	I have no money in my pocket.
yok	Sorun yok.	No problem.
yok	Vaktim yok, sonra konuşalım.	I have no time, let's talk later.
yok	Bu akşam planım yok.	I have no plans this evening.
biz	Biz İzmir'de yaşıyoruz.	We live in Izmir.
biz	Biz her sabah yürüyoruz.	We walk every morning.
biz	Biz de sizinle geliyoruz.	We are coming with you too.
biz	Biz iki kardeşiz.	We are two siblings.
biz	Bunu biz yaptık.	We did this.
biz	Biz çay içiyoruz, siz ne içiyorsunuz?	We are drinking tea, what are you drinking?
sadece	Sadece bir saat kaldı.	Only one hour is left.
sadece	Sadece su içiyorum.	I only drink water.
sadece	Bu sadece bir başlangıç.	This is only a beginning.
sadece	Sadece sen anlıyorsun beni.	Only you understand me.
sadece	Sadece iki bilet kaldı.	Only two tickets are left.
sadece	Sadece soruyorum, merak ettim.	I'm just asking, I was curious.
sonra	Dersten sonra eve gidiyorum.	After the lesson I go home.
sonra	Önce düşün, sonra konuş.	First think, then speak.
sonra	Beş dakika sonra oradayım.	I'll be there in five minutes.
sonra	Yemekten sonra çay içeriz.	After the meal we drink tea.
sonra	Sonra görüşürüz!	See you later!
sonra	İki yıl sonra mezun olacak.	He will graduate in two years.
şimdi	Şimdi çalışıyorum.	I am working now.
şimdi	Şimdi saat kaç?	What time is it now?
şimdi	Şimdi anlıyorum.	Now I understand.
şimdi	Şimdi gitmem lazım.	I have to go now.
şimdi	Şimdi sıra bende.	Now it's my turn.
şimdi	Şimdi hava daha iyi.	The weather is better now.
adam	Adam otobüsü bekliyor.	The man is waiting for the bus.
adam	Bu adam komşumuz.	This man is our neighbour.
adam	Yaşlı adam bankta oturuyor.	The old man is sitting on the bench.
adam	Adam çok yorgun görünüyor.	The man looks very tired.
adam	O adam kim?	Who is that man?
pek	Bugün pek iyi değilim.	I'm not too well today.
pek	Bu kitap pek ilginç değil.	This book is not very interesting.
pek	Pek vaktim yok.	I don't have much time.
pek	Hava pek soğuk değil.	The weather is not very cold.
pek	Onu pek tanımıyorum.	I don't know him very well.
pek	Pek çok insan buraya geliyor.	Very many people come here.
teşekkür	Teşekkür ederim, çok naziksiniz.	Thank you, you are very kind.
teşekkür	Yardımın için teşekkür ederim.	Thank you for your help.
teşekkür	Öğretmenime teşekkür ettim.	I thanked my teacher.
teşekkür	Hediyeniz için çok teşekkür ederiz.	Thank you very much for your gift.
teşekkür	Size nasıl teşekkür edebilirim?	How can I thank you?
teşekkür	Teşekkür etmek istiyorum.	I want to say thank you.
güzel	Bu çok güzel bir film.	This is a very beautiful film.
güzel	Hava bugün çok güzel.	The weather is very nice today.
güzel	Ne güzel bir sürpriz!	What a nice surprise!
güzel	Türkçe güzel bir dil mi?	Is Turkish a beautiful language?
güzel	Yemek çok güzel olmuş.	The food has turned out great.
güzel	Güzel bir gün geçirdik.	We had a lovely day.
gün	Her gün Türkçe çalışıyorum.	I study Turkish every day.
gün	Güzel bir gün dilerim.	I wish you a nice day.
gün	O gün hiç unutmam.	I will never forget that day.
gün	Bir gün her şey değişecek.	One day everything will change.
gün	Hafta yedi gün.	A week is seven days.
kız	Küçük kız parkta oynuyor.	The little girl is playing in the park.
kız	Kız kardeşim doktor.	My sister is a doctor.
kız	Bu kız çok akıllı.	This girl is very clever.
kız	Kız okula gidiyor.	The girl is going to school.
kız	O kız benim arkadaşım.	That girl is my friend.
kız	Kız ve erkek kardeşim var.	I have a sister and a brother.
çünkü	Evdeyim çünkü hastayım.	I am at home because I am ill.
çünkü	Gelmedi çünkü işi vardı.	He didn't come because he had work.
çünkü	Mutluyum çünkü tatildeyim.	I am happy because I am on holiday.
çünkü	Ceket al çünkü hava soğuk.	Take a jacket because it's cold.
çünkü	Erken yattım çünkü yorgundum.	I went to bed early because I was tired.
çünkü	Türkçe öğreniyorum çünkü Türkiye'yi seviyorum.	I'm learning Turkish because I love Turkey.
eğer	Eğer yağmur yağarsa evde kalırız.	If it rains, we stay at home.
eğer	Eğer istersen birlikte gideriz.	If you want, we'll go together.
eğer	Eğer vaktin varsa konuşalım.	If you have time, let's talk.
eğer	Eğer çalışırsan başarırsın.	If you work, you will succeed.
eğer	Eğer geç kalırsam beni bekleme.	If I'm late, don't wait for me.
eğer	Eğer sorun olursa beni ara.	If there's a problem, call me.
başka	Başka bir sorunuz var mı?	Do you have another question?
başka	Başka bir gün gelebilir misin?	Can you come another day?
başka	Bundan başka çarem yok.	I have no choice other than this.
başka	Başka bir şehirde yaşamak istiyorum.	I want to live in another city.
başka	Başka kim geliyor?	Who else is coming?
