rank	word	pos	en
1	na	particle	Interrogative particle; indicates a yes-no question. Placed at the end of the sentence.
2	uthixo	name	God
3	unyana	noun	son
4	phakathi	adv	inside; among
5	abantu	noun	plural of umntu (“person”).
6	yena	pron	he, she, him, her, it; class 1 absolute pronoun.
7	phezu	adv	above
8	mna	pron	I, me; first-person singular absolute pronoun.
9	wena	pron	you, thou, thee; second-person singular absolute pronoun.
10	lowo	pron	that; class 1 distal demonstrative.
11	kaloku	conj	because
12	oko	pron	that; class 15 distal demonstrative.
13	abo	pron	those; class 2 distal demonstrative.
14	xa	conj	when, if
15	uyesu	name	Jesus
16	bona	pron	they, them; class 2 absolute pronoun.
17	ngoko	adv	then
18	ilizwi	noun	voice; word
19	inkosi	noun	chief, king
20	into	noun	thing
21	le	pron	these; class 4 proximal demonstrative.
22	lo	pron	this; class 1 proximal demonstrative.
23	igama	noun	name
24	nina	pron	you, you all; second-person plural absolute pronoun.
25	umthetho	noun	law
26	amadoda	noun	plural of indoda
27	apho	adv	there; distal demonstrative adverb.
28	umntu	noun	person, human
29	nje	adv	so, in this manner; now
30	phantsi	adv	down; below, beneath
31	indlu	noun	house
32	leyo	pron	those; class 4 distal demonstrative.
33	ilizwe	noun	land; country
34	loo	pron	alternative form of lowo
35	umphefumlo	noun	breath
36	ezo	pron	those; class 8 distal demonstrative.
37	indoda	noun	man (male)
38	isandla	noun	hand
39	intliziyo	noun	heart
40	aba	verb	to share; to distribute
41	umoya	noun	air; wind; spirit
42	elo	pron	that; class 5 distal demonstrative.
43	uyise	noun	his or her father
44	musa	intj	don't
45	amehlo	noun	plural of iliso
46	emva	adv	locative singular of umva; behind, at the back
47	amanzi	noun	water
48	yona	pron	they, them; class 4 absolute pronoun.
49	thina	pron	we, us; first-person plural absolute pronoun.
50	kakhulu	adv	a lot, very much
51	ezi	pron	those; class 8 proximal demonstrative.
52	apha	adv	here; proximal demonstrative adverb.
53	umkhonzi	noun	servant
54	ngoku	adv	now, at present
55	inene	noun	truth
56	umzi	noun	homestead; village
57	ubuso	noun	face
58	musani	intj	don't
59	ububi	noun	badness, evil; ugliness
60	nye	adj	one; another
61	eli	pron	this; class 5 proximal demonstrative.
62	lawo	pron	these; class 6 distal demonstrative.
63	intombi	noun	girl
64	la	pron	these; class 6 proximal demonstrative.
65	wona	pron	he, she, him, her, it; class 3 absolute pronoun.
66	oku	pron	this; class 15 proximal demonstrative.
67	inceba	noun	mercy
68	umsebenzi	noun	worker, labourer
69	indlela	noun	road, path
70	ilifa	noun	inheritance
71	izandla	noun	plural of ísándla
72	ntoni	adv	what
73	igazi	noun	blood
74	umfazi	noun	woman
75	hayi	intj	no
76	ubukumkani	noun	kingdom
77	umlomo	noun	mouth
78	ngaphandle	adv	outside, without, except
79	hleze	conj	lest
80	inyama	noun	meat, flesh
81	umsindo	noun	wrath, anger
82	imini	noun	daytime
83	nguthixo	noun	God
84	ikrele	noun	sword
85	isithunywa	noun	messenger
86	amandla	noun	strength, power
87	lona	pron	he, she, him, her, it; class 5 absolute pronoun.
88	ubawo	noun	my/our father
89	isonka	noun	bread
90	umkhosi	noun	army
91	kanye	adv	once
92	inkunzi	noun	animal (male)
93	ibandla	noun	parish; assembly; congregation
94	eso	pron	that; class 7 distal demonstrative.
95	umlilo	noun	fire
96	umhlaba	noun	earth, ground, world
97	ubulungisa	noun	justice
98	inyaniso	noun	truth
99	uhlanga	noun	race
100	intloko	noun	head (part of the body)
101	impahla	noun	goods; clothing
102	indawo	noun	place; area
103	iindaba	noun	plural of indaba
104	imbewu	noun	seed
105	hamba	verb	to go, to walk, to move; to travel
106	indlebe	noun	ear
107	ukuthetha	noun	infinitive of -thetha; speech
108	njalo	adv	so, in that manner
109	ngexesha	adv	in time
110	ubulumko	noun	caution; wisdom
111	phezulu	adv	high
112	abafazi	noun	plural of umfazi
113	ewe	adv	yes
114	zona	pron	they, them; class 8 absolute pronoun.
115	isono	noun	sin
116	izulu	noun	sky, heaven
117	ixesha	noun	time
118	abantwana	noun	plural of umntwana
119	idini	noun	sacrifice
120	thetha	verb	to speak
121	umyalelo	noun	instruction
122	uyihlo	noun	your father
123	ityala	noun	debt
124	ingubo	noun	blanket
125	umda	noun	line, border
126	incwadi	noun	book
