word,definition,definition_ru,definition_ar,definition_es,definition_pt,reading,pos,level,level_source,frequency_rank,alternatives,root,form,gender,aspect,aspect_partner,acc,gen,prep,dat,inst
ni,"is, am, are (the copula)",,,,,,verb,A1,ai,,,,,,,,,,,,
si,"is not, am not, are not",,,,,,verb,A1,ai,,,,,,,,,,,,
shikamoo,respectful greeting to an elder,,,,,,interjection,A1,ai,,,,,,,,,,,,
marahaba,the reply to shikamoo,,,,,,interjection,A1,ai,,,,,,,,,,,,
kwaheri,goodbye,,,,,,interjection,A1,ai,,,,,,,,,,,,
jambo,"matter, affair; hello (as a greeting)",,,,,,noun,A1,ai,,,,,,,,,,,,
hapana,no,,,,,,interjection,A1,ai,,,,,,,,,,,,
shukran,thank you,,,,,,interjection,A2,ai,,,,,,,,,,,,
kumradhi,"excuse me, pardon me",,,,,,interjection,B1,ai,,,,,,,,,,,,
lakini,"but, however",,,,,,conjunction,A1,ai,,,,,,,,,,,,
na,and; with; by,,,,,,conjunction,A1,ai,,,,,,,,,,,,
tena,"again, moreover",,,,,,adv,A1,ai,,,,,,,,,,,,
hapa,here,,,,,,adv,A1,ai,,,,,,,,,,,,
wapi,where,,,,,,adv,A1,ai,,,,,,,,,,,,
lini,when,,,,,,adv,A1,ai,,,,,,,,,,,,
mbona,"why, how come",,,,,,adv,A2,ai,,,,,,,,,,,,
gani,"what kind of, which",,,,,,adj,A1,ai,,,,,,,,,,,,
nani,who,,,,,,pronoun,A1,ai,,,,,,,,,,,,
yeye,"he, she",,,,,,pronoun,A1,ai,,,,,,,,,,,,
sisi,"we, us",,,,,,pronoun,A1,ai,,,,,,,,,,,,
nyinyi,you (plural),,,,,,pronoun,A1,ai,,ninyi,,,,,,,,,,
wao,"they, them",,,,,,pronoun,A1,ai,,,,,,,,,,,,
yule,"that one (person, at a distance)",,,,,,pronoun,A1,ai,,,,,,,,,,,,
zenu,"your, yours (class 10)",,,,,,pronoun,A2,ai,,,,,,,,,,,,
kwangu,"to me, at my place",,,,,,pronoun,A2,ai,,,,,,,,,,,,
kiswahili,the Swahili language,,,,,,noun,A1,ai,,,,,,,,,,,,
kiingereza,the English language,,,,,,noun,A1,ai,,,,,,,,,,,,
lugha,language,,,,,,noun,A1,ai,,,,,,,,,,,,
umri,age,,,,,,noun,A1,ai,,,,,,,,,,,,
wiki,week,,,,,,noun,A1,ai,,,,,,,,,,,,
kesho,tomorrow,,,,,,adv,A1,ai,,,,,,,,,,,,
usiku,night,,,,,,noun,A1,ai,,,,,,,,,,,,
ijumaa,Friday,,,,,,noun,A1,ai,,,,,,,,,,,,
masaa,hours,,,,,,noun,A2,ai,,,,,,,,,,,,
kazi,"work, job",,,,,,noun,A1,ai,,,,,,,,,,,,
simu,"telephone, phone call",,,,,,noun,A1,ai,,,,,,,,,,,,
stesheni,station,,,,,,noun,A1,ai,,,,,,,,,,,,
treni,train,,,,,,noun,A1,ai,,,,,,,,,,,,
supamaketi,supermarket,,,,,,noun,A1,ai,,,,,,,,,,,,
menyu,menu,,,,,,noun,A1,ai,,,,,,,,,,,,
kahawa,coffee,,,,,,noun,A1,ai,,,,,,,,,,,,
peremende,"sweets, candy",,,,,,noun,A1,ai,,,,,,,,,,,,
chokoleti,chocolate,,,,,,noun,A1,ai,,,,,,,,,,,,
kadirio,"estimate, bill",,,,,,noun,B1,ai,,,-kadiria (estimate),,,,,,,,,
chenji,change (money returned),,,,,,noun,A2,ai,,,,,,,,,,,,
senti,cent,,,,,,noun,A2,ai,,,,,,,,,,,,
shughuli,"business, activity, engagement",,,,,,noun,A2,ai,,,,,,,,,,,,
mpole,"gentle, mild-mannered, polite",,,,,,adj,A2,ai,,,,,,,,,,,,
mwerevu,"clever, shrewd",,,,,,adj,A2,ai,,,,,,,,,,,,
mtulivu,"calm, quiet",,,,,,adj,A2,ai,,,,,,,,,,,,
hodari,"capable, skilful, brave",,,,,,adj,A2,ai,,,,,,,,,,,,
ghali,expensive,,,,,,adj,A1,ai,,,,,,,,,,,,
rahisi,cheap; easy,,,,,,adj,A1,ai,,,,,,,,,,,,
mapema,early,,,,,,adv,A1,ai,,,,,,,,,,,,
lolote,any at all (class 5),,,,,,adj,B1,ai,,,,,,,,,,,,
wima,"upright, straight",,,,,,adv,A2,ai,,,,,,,,,,,,
kulia,the right-hand side,,,,,,noun,A1,ai,,,,,,,,,,,,
kushoto,the left-hand side,,,,,,noun,A1,ai,,,,,,,,,,,,
kumi,ten,,,,,,adj,A1,ai,,,,,,,,,,,,
mbili,two,,,,,,adj,A1,ai,,,,,,,,,,,,
sita,six,,,,,,adj,A1,ai,,,,,,,,,,,,
saba,seven,,,,,,adj,A1,ai,,,,,,,,,,,,
ishirini,twenty,,,,,,adj,A1,ai,,,,,,,,,,,,
hamsini,fifty,,,,,,adj,A2,ai,,,,,,,,,,,,
sabini,seventy,,,,,,adj,A2,ai,,,,,,,,,,,,
kukutana,to meet one another,,,,,,verb,A1,ai,,,-kutana,,,,,,,,,
kuchelewa,to be late,,,,,,verb,A1,ai,,,-chelewa,,,,,,,,,
kungoja,to wait,,,,,,verb,A1,ai,,kusubiri,-ngoja,,,,,,,,,
kuzungumza,"to speak, to converse",,,,,,verb,A1,ai,,,-zungumza,,,,,,,,,
sizungumzi,I do not speak,,,,,,verb,A1,ai,,,-zungumza,,,,,,,,,
geuka,"turn, turn around",,,,,,verb,A2,ai,,,-geuka,imperative singular,,,,,,,,
enda,go,,,,,,verb,A1,ai,,,-enda,imperative singular,,,,,,,,
lipa,pay,,,,,,verb,A1,ai,,,-lipa,imperative singular,,,,,,,,
weka,"put, place, keep",,,,,,verb,A1,ai,,,-weka,imperative singular,,,,,,,,
kupiga,"to hit, to strike",,,,,,verb,A1,ai,,,-piga,,,,,,,,,
kuchukia,"to hate, to dislike",,,,,,verb,A2,ai,,,-chukia,,,,,,,,,
kupendelea,to prefer,,,,,,verb,A2,ai,,,-pendelea,,,,,,,,,
kuuza,to sell,,,,,,verb,A1,ai,,,-uza,,,,,,,,,
kusoma,"to read, to study",,,,,,verb,A1,ai,,,-soma,,,,,,,,,
kuweza,"to be able, can",,,,,,verb,A1,ai,,,-weza,,,,,,,,,
kuambatana,"to accompany, to go along with",,,,,,verb,B1,ai,,,-ambatana,,,,,,,,,
kugombea,"to compete for, to contest, to stand for office",,,,,,verb,C1,ai,,,-gombea,,,,,,,,,
kale,"antiquity, olden days",,,,,,noun,B2,ai,,,,,,,,,,,,
mshabiki,"fan, enthusiast, supporter",,,,,,noun,B2,ai,,,,,,,,,,,,
msomi,"scholar, educated person",,,,,,noun,C1,ai,,,-soma (read),,,,,,,,,
kutafakari,"to reflect, to meditate, to ponder",,,,,,verb,C1,ai,,,-tafakari,,,,,,,,,
kisasa,"modern, contemporary",,,,,,adj,B2,ai,,,,,,,,,,,,
urithi,"heritage, inheritance",,,,,,noun,B2,ai,,,-rithi (inherit),,,,,,,,,
mtawala,"ruler, governor",,,,,,noun,C1,ai,,,-tawala (rule),,,,,,,,,
kutawala,"to rule, to govern",,,,,,verb,B2,ai,,,-tawala,,,,,,,,,
upatanishi,"reconciliation, mediation",,,,,,noun,C1,ai,,,-patanisha (reconcile),,,,,,,,,
bahati,"luck, fortune",,,,,,noun,A2,ai,,,,,,,,,,,,
fidia,"compensation, ransom",,,,,,noun,C1,ai,,,,,,,,,,,,
kutawanyika,"to scatter, to disperse",,,,,,verb,C1,ai,,,-tawanyika,,,,,,,,,
mafanikio,"success, achievement",,,,,,noun,B2,ai,,,-fanikiwa (succeed),,,,,,,,,
kukuza,"to develop, to promote, to enlarge",,,,,,verb,B2,ai,,,-kuza,,,,,,,,,
ukoloni,colonialism,,,,,,noun,C1,ai,,,,,,,,,,,,
asilia,"indigenous, natural, original",,,,,,adj,B2,ai,,,asili (origin),,,,,,,,,
ngumu,"hard, difficult, tough",,,,,,adj,A2,ai,,,,,,,,,,,,
ushindi,"victory, triumph",,,,,,noun,B2,ai,,,-shinda (win),,,,,,,,,
kushinda,"to win, to defeat, to overcome",,,,,,verb,A2,ai,,,-shinda,,,,,,,,,
mashuhuri,"renowned, celebrated",,,,,,adj,C1,ai,,,,,,,,,,,,
maarufu,"famous, well known",,,,,,adj,B2,ai,,,,,,,,,,,,
