word	sentence	translation	difficulty_rank
no	No.	No.	3
no	¡No!	No!	3
no	No, no, no!	No, no, no!	3
es	Es él.	It is he.	8
el	Es él.	It is he.	8
es	Es él, ¿no?	He's the one, isn't he?	8
el	Es él, ¿no?	He's the one, isn't he?	8
es	Es lo que es.	It is what it is.	10
lo	Es lo que es.	It is what it is.	10
que	Es lo que es.	It is what it is.	10
a	¡A por él!	Seize him!	12
por	¡A por él!	Seize him!	12
el	¡A por él!	Seize him!	12
por	¿Por qué?	Why?	13
qué	¿Por qué?	Why?	13
qué	¿Y qué?	So what?	13
y	¿Y qué?	So what?	13
qué	¿Qué?	What?	13
por	¿Por qué no?	Why not?	13
y	¿Y por qué no?	And why not?	13
y	"""¿Por qué?"" ""¿Y por qué no?"""	"""Why?"" ""Why not?"""	13
la	Es la una.	It's one o'clock.	15
una	Es la una.	It's one o'clock.	15
una	Es una uña.	It's a fingernail.	15
para	¿Para qué?	For what?	20
para	¡Para!	Stop!	20
para	Para.	Stop.	20
está	Él no está.	He is from home.	21
está	No está.	He's not in.	21
está	Está con él.	He's with him.	21
con	Está con él.	He's with him.	21
pero	¿Pero por qué?	But why?	23
pero	¿Pero qué...?	Waaaa...	23
pero	Pero ¿qué es?	But what is it?	23
sí	Sí.	Yes.	24
o	¿Sí o no?	Yes or no?	24
sí	¿Sí o no?	Yes or no?	24
sí	Sí y no.	Yes and no.	24
a	¿A que sí?	Isn't that right?	24
que	¿A que sí?	Isn't that right?	24
lo	Sí lo es.	Yes, it is.	24
si	Si sí sí, si no no.	If yes yes, If not no.	25
si	¿Y si no es?	And if it’s not?	25
bien	¿Está bien?	Is that okay?	26
bien	Está bien.	It's OK.	26
bien	Bien.	Good.	26
eso	¿Qué es eso?	What is it?	27
eso	Eso es.	That's it.	27
o	¿Eso es un sí o un no?	Is it a yes or a no?	27
eso	¿Eso es un sí o un no?	Is it a yes or a no?	27
un	¿Eso es un sí o un no?	Is it a yes or a no?	27
un	¿Eso es un sí?	Is that a yes?	27
yo	¿Por qué yo?	Why me?	30
yo	Es él o yo.	It's him or me.	30
o	Es él o yo.	It's him or me.	30
yo	¿Yo?	Me?	30
como	No como.	I don't eat.	32
como	Yo como.	I eat.	32
como	Como.	I eat.	32
aquí	¿Por qué está aquí?	Why is he here?	33
aquí	¿Es de aquí?	Are you from here?	33
de	¿Es de aquí?	Are you from here?	33
aquí	Por aquí.	This way.	33
de	No es de por aquí.	He's not from around here.	33
más	¿Qué más?	What else?	35
más	No está más aquí.	He is no longer here.	35
más	¡Más!	More!	35
solo	Él está solo.	He is alone.	37
solo	Está solo.	He is alone.	37
solo	No solo es eso.	It's not just that.	37
una	No, solo una.	No, just one.	37
que	Es más que solo eso.	It's more than just that.	37
esto	¿Qué es esto?	What is this?	38
esto	¿Para qué es esto?	What is this for?	38
esto	Esto no está bien.	This is not okay.	38
de	Esto es de él.	This is his.	38
todo	¿Todo bien?	Everything okay?	39
