word	sentence	translation
читать	Я люблю читать вечером.	I love reading in the evening.
читать	Ты умеешь читать по-русски?	Can you read Russian?
читать	Мама будет читать детям сказку.	Mum is going to read the children a fairy tale.
читать	Он не хочет читать эту газету.	He doesn't want to read this newspaper.
читать	Читать в темноте вредно.	Reading in the dark is bad for you.
читать	В отпуске я буду читать каждый день.	On holiday I will read every day.
писать	Я не люблю писать письма.	I don't like writing letters.
писать	Она умеет красиво писать.	She can write beautifully.
писать	Завтра мы будем писать тест.	Tomorrow we will be taking a written test.
писать	Он начал писать книгу о Москве.	He has started writing a book about Moscow.
писать	Писать по-русски труднее, чем говорить.	Writing in Russian is harder than speaking.
писать	Мне надо писать отчёт сегодня.	I have to write a report today.
говорить	Я хочу хорошо говорить по-русски.	I want to speak Russian well.
говорить	Здесь нельзя громко говорить.	One mustn't talk loudly here.
говорить	Она любит говорить о музыке.	She loves talking about music.
говорить	Ребёнок только учится говорить.	The child is just learning to speak.
говорить	С ним легко говорить.	It is easy to talk with him.
говорить	Не надо говорить об этом на работе.	One shouldn't talk about this at work.
делать	Что ты любишь делать вечером?	What do you like doing in the evening?
делать	Мне нечего делать сегодня.	I have nothing to do today.
делать	Он не знает, что делать.	He doesn't know what to do.
делать	Делать зарядку полезно.	Doing morning exercises is good for you.
делать	Завтра мы будем делать домашнее задание вместе.	Tomorrow we will do the homework together.
делать	Не надо делать всё сразу.	You shouldn't do everything at once.
смотреть	Мы любим смотреть фильмы дома.	We love watching films at home.
смотреть	Вечером я буду смотреть футбол.	In the evening I will be watching football.
смотреть	Она не хочет смотреть этот фильм.	She doesn't want to watch this film.
смотреть	Смотреть на море можно часами.	One can look at the sea for hours.
смотреть	Дети любят смотреть мультфильмы.	Children love watching cartoons.
смотреть	Мне некогда смотреть телевизор.	I have no time to watch TV.
слушать	Я люблю слушать музыку утром.	I love listening to music in the morning.
слушать	Он не хочет слушать советы.	He doesn't want to listen to advice.
слушать	Слушать её истории очень интересно.	Listening to her stories is very interesting.
слушать	Вечером мы будем слушать радио.	In the evening we will listen to the radio.
слушать	Надо слушать учителя внимательно.	One must listen to the teacher carefully.
слушать	Она может слушать эту песню весь день.	She can listen to this song all day.
покупать	Я не люблю покупать одежду онлайн.	I don't like buying clothes online.
покупать	Где лучше покупать продукты?	Where is it better to buy groceries?
покупать	Мы будем покупать хлеб в этом магазине.	We will buy bread at this shop.
покупать	Покупать билеты лучше заранее.	It's better to buy tickets in advance.
покупать	Он любит покупать книги об истории.	He loves buying history books.
покупать	Не надо покупать всё, что видишь.	You shouldn't buy everything you see.
давать	Я люблю давать советы друзьям.	I like giving advice to my friends.
давать	Не надо давать ребёнку так много сладкого.	You shouldn't give a child so many sweets.
давать	Банк не хочет давать ему кредит.	The bank doesn't want to give him a loan.
давать	Давать обещания легко, выполнять трудно.	Making promises is easy, keeping them is hard.
давать	Учитель будет давать нам новые тексты.	The teacher will give us new texts.
давать	Она умеет давать хорошие советы.	She knows how to give good advice.
звонить	Я буду звонить тебе каждый день.	I will call you every day.
звонить	Не надо звонить так поздно.	You shouldn't call so late.
звонить	Он забыл звонить домой.	He forgot to call home.
звонить	Мне некому звонить в этом городе.	I have nobody to call in this city.
звонить	Она любит звонить маме по вечерам.	She likes calling her mum in the evenings.
звонить	Можно звонить вам завтра утром?	May I call you tomorrow morning?
помогать	Я люблю помогать маме дома.	I love helping my mum at home.
помогать	Он всегда готов помогать друзьям.	He is always ready to help his friends.
помогать	Помогать людям — её работа.	Helping people is her job.
помогать	Мы будем помогать вам с переездом.	We will help you with the move.
помогать	Надо помогать старым людям.	One should help elderly people.
помогать	Она не хочет помогать брату с уроками.	She doesn't want to help her brother with his homework.
открывать	Не надо открывать окно — холодно.	Don't open the window — it's cold.
открывать	Я не хочу открывать дверь незнакомым.	I don't want to open the door to strangers.
открывать	Магазин будут открывать в девять.	They will be opening the shop at nine.
открывать	Открывать подарки — самое приятное.	Opening presents is the best part.
открывать	Он боится открывать письма из банка.	He is afraid of opening letters from the bank.
открывать	Летом мы любим открывать все окна.	In summer we like to open all the windows.
закрывать	Не забудь закрывать дверь на ключ.	Don't forget to lock the door.
закрывать	Надо закрывать окно ночью.	One should close the window at night.
закрывать	Я не люблю закрывать шторы днём.	I don't like closing the curtains during the day.
закрывать	Магазин будут закрывать в восемь.	They will be closing the shop at eight.
закрывать	Зимой мы стараемся закрывать все окна.	In winter we try to keep all the windows closed.
закрывать	Он забывает закрывать дверь в комнату.	He forgets to close the door to the room.
начинать	Не хочу начинать день без кофе.	I don't want to start the day without coffee.
начинать	Пора начинать урок.	It's time to begin the lesson.
начинать	Трудно начинать всё сначала.	It's hard to start everything from scratch.
начинать	Мы будем начинать работу в восемь.	We will be starting work at eight.
