word	sentence	translation	difficulty_rank
tidak	Tidak, tidak, tidak!	No, no, no!	9
saya	Saya juga.	Me too.	19
juga	Saya juga.	Me too.	19
juga	Kamu juga?	You too?	20
kamu	Kamu juga?	You too?	20
ini	Ini dia.	Here it is.	21
dia	Ini dia.	Here it is.	21
dia	Dia pulang.	She went home.	25
pulang	Dia pulang.	She went home.	25
ini	Ini apa?	What's this?	26
apa	Ini apa?	What's this?	26
apa	Itu apa?	What's that?	26
itu	Itu apa?	What's that?	26
apa	Untuk apa?	What for?	26
ada	Ada apa?	What's up?	26
kamu	Kamu tidak apa-apa?	Are you all right?	26
ini	Apa ini?	What is this?	26
saya	Saya tidak bisa.	I can't.	34
dia	Dia tidak bisa.	She can't.	34
saya	Saya harus pulang.	I have to go home.	35
harus	Saya harus pulang.	I have to go home.	35
pulang	Saya harus pulang.	I have to go home.	35
tolong	Tolong saya！	Give me a hand!	36
ya	Ya atau tidak?	Yes or no?	38
yang	Saya mau yang ini.	I want this one.	39
mau	Saya mau yang ini.	I want this one.	39
yang	Saya mau yang itu.	I want that one.	39
itu	Saya mau yang itu.	I want that one.	39
mau	Saya mau yang itu.	I want that one.	39
mau	Mau pulang?	Shall we go home?	39
pulang	Mau pulang?	Shall we go home?	39
mereka	Apa yang mereka mau?	What did they want?	39
yang	Apa yang mereka mau?	What did they want?	39
ada	Tidak ada yang mau.	No one wanted it.	39
kami	Kami tidak mau.	We don't want to.	39
kami	Kami tidak mau itu.	We don't want it.	39
itu	Kami tidak mau itu.	We don't want it.	39
kamu	Kalau kamu mau.	If you want.	39
jangan	Jangan yang itu.	That's a no-no.	41
mereka	Ini untuk mereka semua.	This is for them all.	45
semua	Ini untuk mereka semua.	This is for them all.	45
semua	Ini semua karena kamu.	This is all because of you.	45
begitu	Dia bilang begitu?	She said that?	49
bilang	Dia bilang begitu?	She said that?	49
ada	Dia masih belum ada.	He's not in yet.	53
belum	Dia masih belum ada.	He's not in yet.	53
harus	Kenapa harus saya?	Why me?	55
kenapa	Kenapa harus saya?	Why me?	55
kenapa	Kamu kenapa?	What's happening to you?	55
mengapa	Mengapa kita tidak pulang?	Why do we not go home?	56
kapan	Kapan kamu akan pulang?	When are you going home?	57
mereka	Kapan mereka pulang?	When are they coming home?	57
kapan	Kapan mereka pulang?	When are they coming home?	57
dari	Dari kapan?	Since when?	57
siapa	Dia siapa?	Who is he?	58
siapa	Mereka ini siapa?	Who are these people?	58
bilang	Jangan bilang siapa-siapa.	Don't tell anyone.	58
jangan	Jangan bilang siapa-siapa.	Don't tell anyone.	58
mana	Di mana mereka?	Where were they?	60
di	Di mana mereka?	Where were they?	60
mana	Dari mana kamu?	Where have you been?	60
dari	Dari mana kamu?	Where have you been?	60
mana	Kamu di mana?	Where were you?	60
di	Kamu di mana?	Where were you?	60
ke	Kamu mau ke mana?	Where are you going to?	60
ke	Mau ke mana?	Where are you going?	60
ke	Ke mana saja kamu?	Where have you been?	60
saja	Ke mana saja kamu?	Where have you been?	60
anda	Dari mana saja Anda?	Where have you been?	60
dari	Dari mana saja Anda?	Where have you been?	60
saja	Dari mana saja Anda?	Where have you been?	60
saja	Kamu dari mana saja?	Where have you been?	60
bisa	Mereka tidak bisa ke mana-mana.	They have nowhere to go.	60
di	Di mana?	Where?	60
jangan	Jangan ke mana-mana, ya?	Don't go anywhere, OK?	60
sama	Sama-sama.	You're welcome.	61
sama	Tidak sama sekali ！	No way!	61
sama	Sama-sama!	You're welcome!	61
seperti	"""Jangan seperti itu."" ""Seperti apa?"""	"""Don't be like that."" ""Like what?"""	69
semua	Mereka semua seperti itu.	They're all like that.	69
begitu	Dia tadi bilang begitu?	Did she say that?	85
tadi	Dia tadi bilang begitu?	Did she say that?	85
bilang	Dia tadi bilang begitu?	Did she say that?	85
tadi	Tadi kamu di mana?	Where were you?	85
tadi	Yang mana itu tadi?	Which one was it?	85
belum	Sekarang, mereka belum sampai.	So far, they haven't arrived.	87
harus	Kamu harus pulang sekarang.	You should go home now.	87
sekarang	Kita mau ke mana sekarang? Pulang?	Where are we going now? Home?	87
kita	Kita mau ke mana sekarang? Pulang?	Where are we going now? Home?	87
lagi	Saya tidak mau lagi.	I don't want any more.	91
lagi	Apa lagi?	What else?	91
kembali	Kapan kamu akan kembali?	When will you be back?	92
kembali	Kamu harus kembali.	You have to go back.	92
belum	Dia belum kembali.	He hasn't returned yet.	92
dan	Dan kapan mereka akan kembali?	And when are they coming back?	92
akan	Dan kapan mereka akan kembali?	And when are they coming back?	92
mungkin	Tidak mungkin!	No way!	95
mungkin	Mungkin nanti.	Maybe later.	95
nanti	Mungkin nanti.	Maybe later.	95
tentu	Tentu saja	Of course.	96
tentu	Tentu saja!	Of course!	96
cukup	Itu cukup.	That's enough.	99
sudah	Sudah cukup!	Enough already!	99
cukup	Sudah cukup!	Enough already!	99
sudah	Cukup sudah!	Enough is enough!	99
sudah	Sudah cukup.	It's enough.	99
misalnya	Misalnya?	Such as?	103
banyak	Aku mau lebih banyak.	I want a lot more.	107
aku	Aku mau lebih banyak.	I want a lot more.	107
aku	Aku akan segera kembali.	I will be back soon.	107
aku	Aku harus pulang.	I have to get home.	107
juga	Aku juga.	Me, too.	107
tolong	Tolong aku!	Help me!	107
dan	Aku tidak bisa, dan aku tidak mau.	I can't, and I don't want to.	107
