word	sentence	translation	difficulty_rank
ik	Ik?	Me?	1
is	Dat is het.	That's it.	6
dat	Dat is het.	That's it.	6
het	Dat is het.	That's it.	6
is	Het is 8:30.	It's 8:30.	6
het	Het is 8:30.	It's 8:30.	6
niet	Niet?	Right?	8
niet	Niet.	No.	8
en	En?	So what?	9
en	En u?	And you?	9
u	En u?	And you?	9
van	Het is van u?	Is it yours?	10
is	Het is van u?	Is it yours?	10
u	Het is van u?	Is it yours?	10
het	Het is van u?	Is it yours?	10
dat	Wat is dat?	What is it?	11
wat	Wat is dat?	What is it?	11
wat	Wat?	What?	11
wat	Wat is het?	What is it?	11
en	En wat?	And what?	11
te	Te.	Too much.	16
zijn	Dat zijn ze.	That's them.	17
ze	Dat zijn ze.	That's them.	17
dat	Dat zijn ze.	That's them.	17
zijn	Ze zijn?	They are?	17
ze	Ze zijn?	They are?	17
op	Op is op!	While supplies last!	18
we	We zijn er!	We're here!	20
zijn	We zijn er!	We're here!	20
er	We zijn er!	We're here!	20
van	Hij is er een van.	That's one of them.	20
een	Hij is er een van.	That's one of them.	20
er	Hij is er een van.	That's one of them.	20
hij	Hij is er een van.	That's one of them.	20
er	Wat is er?	What's the matter?	20
niet	Ze zijn er niet.	They're not there.	20
ze	Ze zijn er niet.	They're not there.	20
hij	Hij is er.	He's here.	20
u	Voor u?	For you?	21
voor	Voor u?	For you?	21
heb	Wat heb ik?	What do I have?	24
ik	Wat heb ik?	What do I have?	24
heb	Ik heb je!	Gotcha!	24
je	Ik heb je!	Gotcha!	24
ik	Ik heb je!	Gotcha!	24
heb	Ik heb het.	I got it.	24
je	Wat heb je?	What do you have?	24
je	Heb je het?	Do you have it?	24
een	Ik heb er een!	I got one!	24
was	Ik was er niet.	I wasn't there.	27
was	Wat was het?	What was it?	27
was	Wat was dat?	What was that?	27
ben	Ik ben het.	It's me.	28
ben	Ik ben.	I am.	28
ben	Dat ben ik.	That's me.	28
dit	Wat is dit?	What's this?	30
dit	Dit ben ik.	This is me.	30
