word	sentence	translation	difficulty_rank	gloss	transliteration	source
malaika	Malaika ni mjumbe wa Mungu.	An angel is a messenger of God.	101			
pepo	Pepo ni roho mbaya.	A demon is an evil spirit.	163			
uzima	Uzima ni muhimu.	Health is important.	174			
neema	Neema ni zawadi ya bure.	Grace is a free gift.	184			
mtumishi	Mtumishi anafanya kazi.	The servant is working.	188			
amri	Mfalme alitoa amri.	The king gave a command.	264			
mwanga	Mwanga wa jua ni mkali.	Sunlight is bright.	272			
wajibu	Ni wajibu wangu.	It is my duty.	279			
naam	Naam, nakubali.	Yes, I agree.	283			
nabii	Nabii alihubiri neno.	The prophet preached the word.	290			
mafundisho	Mafundisho yake ni mazuri.	His teachings are good.	301			
hekalu	Hekalu ni kubwa.	The temple is big.	324			
sabato	Sabato ni siku ya mapumziko.	The Sabbath is a day of rest.	335			
halafu	Nitakula halafu nitalala.	I'll eat then I'll sleep.	346			
panda	Panda mlima polepole.	Climb the mountain slowly.	347			
wema	Wema ni tabia nzuri.	Kindness is a good character trait.	365			
kadhalika	Yeye pia, na wewe kadhalika.	Him too, and you likewise.	370			
mbingu	Mbingu ni bluu.	The sky is blue.	432			
sikukuu	Leo ni sikukuu.	Today is a holiday.	439			
shuka	Shuka hapa, tafadhali.	Get off here, please.	453			
utawala	Utawala wa sheria ni muhimu.	The rule of law is important.	461			
dhabihu	Alitoa dhabihu.	He offered a sacrifice.	468			
hofu	Usiwe na hofu.	Don't be afraid.	470			
mkoa	Mkoa huu ni mkubwa.	This region is big.	475			
kipaji	Ana kipaji cha muziki.	He has a talent for music.	480			
vazi	Vazi lake ni safi.	Her garment is clean.	482			
mwanakondoo	Mwanakondoo ni mdogo.	The lamb is small.	496			
kipofu	Kipofu anahitaji msaada.	A blind person needs help.	513			
imara	Nyumba ni imara.	The house is strong.	517			
kuhubiri	Alianza kuhubiri.	He started to preach.	520			
matakwa	Matakwa yako ni nini?	What are your wishes?	523			
kikombe	Nataka kikombe cha chai.	I want a cup of tea.	537			
taabu	Maisha yana taabu.	Life has hardships.	550			
myahudi	Yeye ni Myahudi.	He is a Jew.	554			
sali	Sali kwa Mungu.	Pray to God.	573			
sadaka	Alitoa sadaka kanisani.	He gave an offering at church.	580			
ushuru	Wafanyabiashara wanalipa ushuru.	Traders pay tax.	581			
upanga	Askari ana upanga.	The soldier has a sword.	583			
ghadhabu	Ghadhabu yake ni kubwa.	His wrath is great.	594			
hubiri	Hubiri habari njema.	Preach the good news.	555			
amuru	Amuru jeshi lako.	Command your army.	464			
taabu	Tulipata taabu njiani.	We had trouble on the way.	550			
shikamoo	Shikamoo babu, habari za nyumbani?	Respectful greetings, grandfather. How are things at home?	3	shikamoo (respect.greeting) babu (CL1-grandfather) habari (CL10-news) za (CL10-of) nyumba-ni (CL9-house-LOC)		ai
marahaba	Shikamoo mama. Marahaba, mwanangu.	Greetings, madam. Thank you, my child.	3	shikamoo (respect.greeting) mama (CL1-mother) marahaba (reply) mwana-ngu (CL1-child-my)		ai
kwaheri	Kwaheri, tutaonana wiki ijayo.	Goodbye, we will see each other next week.	4	kwaheri (goodbye) tu-ta-on-ana (1PL-FUT-see-RECIP) wiki (CL9-week) i-ja-yo (CL9-come-REL = coming)		ai
ni	Dada yangu ni mwalimu wa hesabu.	My sister is a mathematics teacher.	2	dada (CL9-sister) y-angu (CL9-my) ni (is) mwalimu (CL1-teacher) wa (CL1-of) hesabu (CL9-mathematics)		ai
si	Huyu si mgeni, ni jirani yetu.	This is not a stranger; he is our neighbour.	3	huyu (CL1-this) si (is.not) m-geni (CL1-stranger) ni (is) jirani (CL9-neighbour) y-etu (CL9-our)		ai
lakini	Nilijaribu kupiga simu lakini hakuna aliyepokea.	I tried to call but nobody answered.	6	ni-li-jaribu (1SG-PAST-try) ku-piga (INF-hit) simu (CL9-phone) lakini (but) hakuna (there.is.not) a-li-ye-pokea (CL1-PAST-CL1.REL-receive)		ai
kiswahili	Ninajifunza Kiswahili tangu mwaka jana.	I have been learning Swahili since last year.	4	ni-na-ji-funza (1SG-PRES-REFL-teach) Kiswahili (CL7-Swahili) tangu (since) mwaka (CL3-year) jana (last)		ai
kiingereza	Anazungumza Kiingereza na Kifaransa.	She speaks English and French.	3	a-na-zungumza (CL1-PRES-speak) Kiingereza (CL7-English) na (and) Kifaransa (CL7-French)		ai
sizungumzi	Samahani, sizungumzi Kifaransa vizuri.	Sorry, I do not speak French well.	4	samahani (sorry) si-zungumz-i (1SG.NEG-speak-NEG) Kifaransa (CL7-French) vizuri (CL8-well)		ai
lugha	Lugha ya taifa hapa ni Kiswahili.	The national language here is Swahili.	4	lugha (CL9-language) ya (CL9-of) taifa (CL5-nation) hapa (CL16-here) ni (is) Kiswahili (CL7-Swahili)		ai
umri	Una umri gani, kama siri si kubwa?	How old are you, if it is not a big secret?	5	u-na (2SG-have) umri (CL11-age) gani (what.kind) kama (if) siri (CL9-secret) si (is.not) kubwa (CL9-big)		ai
gani	Unapenda muziki wa aina gani?	What kind of music do you like?	4	u-na-penda (2SG-PRES-like) muziki (CL3-music) wa (CL3-of) aina (CL9-kind) gani (what.kind)		ai
yeye	Yeye ni mtulivu lakini rafiki yake ni mchangamfu.	She is quiet but her friend is lively.	5	yeye (he/she) ni (is) m-tulivu (CL1-quiet) lakini (but) rafiki (CL9-friend) y-ake (CL9-his/her) ni (is) m-changamfu (CL1-lively)		ai
sisi	Sisi tunaishi mji mmoja.	We live in the same town.	3	sisi (we) tu-na-ishi (1PL-PRES-live) mji (CL3-town) m-moja (CL3-one)		ai
mwerevu	Mwanafunzi yule ni mwerevu sana.	That student is very clever.	4	mwanafunzi (CL1-student) yule (CL1-that) ni (is) mw-erevu (CL1-clever) sana (very)		ai
mpole	Jirani wetu ni mpole na mkarimu.	Our neighbour is gentle and generous.	4	jirani (CL1-neighbour) w-etu (CL1-our) ni (is) m-pole (CL1-gentle) na (and) m-karimu (CL1-generous)		ai
hodari	Yeye ni hodari katika kucheza mpira.	He is skilful at playing football.	4	yeye (he) ni (is) hodari (skilful) katika (in) ku-cheza (INF-play) mpira (CL3-ball)		ai
ghali	Nguo hizi ni ghali kuliko nilivyodhani.	These clothes are more expensive than I thought.	6	nguo (CL10-clothes) hizi (CL10-these) ni (are) ghali (expensive) kuliko (than) ni-li-vyo-dhani (1SG-PAST-CL8.REL-think)		ai
rahisi	Soko la hapa lina bidhaa rahisi.	The market here has cheap goods.	4	soko (CL5-market) la (CL5-of) hapa (CL16-here) li-na (CL5-have) bidhaa (CL10-goods) rahisi (cheap)		ai
shilingi	Nauli ni shilingi hamsini na tano.	The fare is fifty-five shillings.	3	nauli (CL9-fare) ni (is) shilingi (CL10-shilling) hamsini (fifty) na (and) tano (five)		ai
chenji	Tafadhali nipe chenji yangu.	Please give me my change.	4	tafadhali (please) ni-p-e (1SG.OBJ-give-SUBJ) chenji (CL9-change) y-angu (CL9-my)		ai
kadirio	Naomba kadirio la bili, tafadhali.	May I have the bill, please.	5	na-omba (1SG.PRES-request) kadirio (CL5-estimate) la (CL5-of) bili (CL9-bill) tafadhali (please)		ai
jambo	Kuna jambo moja ninalotaka kukuuliza.	There is one matter I want to ask you about.	6	kuna (CL17-there.is) jambo (CL5-matter) moja (one) ni-na-lo-taka (1SG-PRES-CL5.REL-want) ku-ku-uliza (INF-2SG.OBJ-ask)		ai
kusoma	Ninasoma sheria katika chuo kikuu.	I am studying law at the university.	4	ni-na-soma (1SG-PRES-study) sheria (CL9-law) katika (in) chuo (CL7-college) ki-kuu (CL7-great)		ai
lini	Utaondoka lini kwenda Arusha?	When will you leave for Arusha?	3	u-ta-ondoka (2SG-FUT-depart) lini (when) kw-enda (INF-go) Arusha		ai
wiki	Wiki hii nina mikutano mingi.	This week I have many meetings.	4	wiki (CL9-week) hii (CL9-this) ni-na (1SG-have) mi-kutano (CL4-meeting) mi-ngi (CL4-many)		ai
kesho	Kesho asubuhi tutakutana stesheni.	Tomorrow morning we will meet at the station.	3	kesho (tomorrow) asubuhi (CL9-morning) tu-ta-kutana (1PL-FUT-meet) stesheni (CL9-station)		ai
wapi	Unaenda wapi jioni hii?	Where are you going this evening?	2	u-na-enda (2SG-PRES-go) wapi (where) jioni (CL9-evening) hii (CL9-this)		ai
supamaketi	Ninaenda supamaketi kununua sukari.	I am going to the supermarket to buy sugar.	3	ni-na-enda (1SG-PRES-go) supamaketi (CL9-supermarket) ku-nunua (INF-buy) sukari (CL9-sugar)		ai
stesheni	Stesheni iko wapi kutoka hapa?	Where is the station from here?	3	stesheni (CL9-station) i-ko (CL9-be.at) wapi (where) kutoka (from) hapa (CL16-here)		ai
geuka	Geuka kulia baada ya benki.	Turn right after the bank.	3	geuka (turn.IMP) kulia (CL17-right) baada ya (after) benki (CL9-bank)		ai
kushoto	Duka liko upande wa kushoto.	The shop is on the left-hand side.	4	duka (CL5-shop) li-ko (CL5-be.at) upande (CL11-side) wa (CL11-of) kushoto (CL17-left)		ai
kulia	Nyumba yao iko kulia mwa barabara.	Their house is on the right of the road.	5	nyumba (CL9-house) y-ao (CL9-their) i-ko (CL9-be.at) kulia (CL17-right) mwa (CL18-of) barabara (CL9-road)		ai
mbona	Mbona hukuja kwenye sherehe?	How come you did not come to the party?	5	mbona (why/how.come) hu-ku-ja (2SG.NEG-PAST-come) kwenye (at) sherehe (CL9-party)		ai
treni	Nilikosa treni ya saa mbili.	I missed the eight o'clock train.	4	ni-li-kosa (1SG-PAST-miss) treni (CL9-train) ya (CL9-of) saa (CL9-hour) mbili (two)		ai
mapema	Tulifika mapema kuliko wageni wengine.	We arrived earlier than the other guests.	5	tu-li-fika (1PL-PAST-arrive) mapema (early) kuliko (than) wa-geni (CL2-guest) w-engine (CL2-other)		ai
hapa	Weka mzigo wako hapa chini.	Put your load down here.	3	weka (put.IMP) mzigo (CL3-load) w-ako (CL3-your) hapa (CL16-here) chini (below)		ai
kungoja	Sipendi kungoja kwenye foleni ndefu.	I do not like waiting in a long queue.	5	si-pend-i (1SG.NEG-like-NEG) ku-ngoja (INF-wait) kwenye (at) foleni (CL9-queue) ndefu (CL9-long)		ai
kuchukia	Nachukia kuchelewa kwa mikutano.	I hate being late for meetings.	4	na-chukia (1SG.PRES-hate) ku-chelewa (INF-be.late) kwa (for) mi-kutano (CL4-meeting)		ai
peremende	Watoto wanapenda peremende kuliko matunda.	Children like sweets more than fruit.	4	wa-toto (CL2-child) wa-na-penda (CL2-PRES-like) peremende (CL10-sweets) kuliko (than) ma-tunda (CL6-fruit)		ai
kahawa	Naomba kahawa bila sukari.	May I have coffee without sugar.	3	na-omba (1SG.PRES-request) kahawa (CL9-coffee) bila (without) sukari (CL9-sugar)		ai
menyu	Unaweza kuniletea menyu, tafadhali?	Could you bring me the menu, please?	5	u-na-weza (2SG-PRES-be.able) ku-ni-let-ea (INF-1SG.OBJ-bring-APPL) menyu (CL9-menu) tafadhali (please)		ai
kuweza	Naweza kulipa kwa kadi?	Can I pay by card?	3	na-weza (1SG.PRES-be.able) ku-lipa (INF-pay) kwa (by) kadi (CL9-card)		ai
lipa	Lipa hapa kisha uchukue risiti.	Pay here and then take a receipt.	5	lipa (pay.IMP) hapa (CL16-here) kisha (then) u-chuku-e (2SG-take-SUBJ) risiti (CL9-receipt)		ai
usiku	Usiku wa Ijumaa tutaenda sinema.	On Friday night we will go to the cinema.	4	usiku (CL11-night) wa (CL11-of) Ijumaa (CL9-Friday) tu-ta-enda (1PL-FUT-go) sinema (CL9-cinema)		ai
kuambatana	Utaambatana nasi kesho jioni?	Will you come along with us tomorrow evening?	5	u-ta-ambatana (2SG-FUT-accompany) na-si (with-us) kesho (tomorrow) jioni (CL9-evening)		ai
kupiga	Nitakupigia simu baadaye leo.	I will call you later today.	5	ni-ta-ku-pig-ia (1SG-FUT-2SG.OBJ-hit-APPL) simu (CL9-phone) baadaye (later) leo (today)		ai
simu	Simu yangu haina chaji.	My phone has no charge.	4	simu (CL9-phone) y-angu (CL9-my) ha-i-na (NEG-CL9-have) chaji (CL9-charge)		ai
tena	Tutazungumza tena baada ya mkutano.	We will talk again after the meeting.	3	tu-ta-zungumza (1PL-FUT-speak) tena (again) baada ya (after) mkutano (CL3-meeting)		ai
kazi	Ninaenda kazini kwa basi kila siku.	I go to work by bus every day.	3	ni-na-enda (1SG-PRES-go) kazi-ni (CL9-work-LOC) kwa (by) basi (CL5-bus) kila (every) siku (CL9-day)		ai
shughuli	Nina shughuli nyingi wiki hii.	I have many engagements this week.	4	ni-na (1SG-have) shughuli (CL10-engagement) nyingi (CL10-many) wiki (CL9-week) hii (CL9-this)		ai
kuchelewa	Samahani kwa kuchelewa, kulikuwa na msongamano.	Sorry for being late; there was heavy traffic.	6	samahani (sorry) kwa (for) ku-chelewa (INF-be.late) ku-li-kuwa na (CL17-PAST-be with) msongamano (CL3-congestion)		ai
urithi	Urithi wa utamaduni wetu unapaswa kulindwa.	Our cultural heritage ought to be protected.	9	urithi (CL11-heritage) wa (CL11-of) utamaduni (CL11-culture) w-etu (CL11-our) u-na-paswa (CL11-PRES-ought) ku-lindwa (INF-be.protected)		ai
msomi	Msomi huyo ameandika vitabu vingi kuhusu historia.	That scholar has written many books about history.	7	msomi (CL1-scholar) huyo (CL1-that) a-me-andika (CL1-PERF-write) vi-tabu (CL8-book) vi-ngi (CL8-many) kuhusu (about) historia (CL9-history)		ai
kutafakari	Tunapaswa kutafakari maana ya siku hii.	We ought to reflect on the meaning of this day.	8	tu-na-paswa (1PL-PRES-ought) ku-tafakari (INF-reflect) maana (CL9-meaning) ya (CL9-of) siku (CL9-day) hii (CL9-this)		ai
mtawala	Mtawala wa kwanza wa eneo hili alikuwa maarufu.	The first ruler of this region was renowned.	8	mtawala (CL1-ruler) wa (CL1-of) kwanza (first) wa (CL1-of) eneo (CL5-area) hili (CL5-this) a-li-kuwa (CL1-PAST-be) maarufu (famous)		ai
upatanishi	Upatanishi ulisaidia kumaliza mgogoro.	The mediation helped end the conflict.	8	upatanishi (CL11-reconciliation) u-li-saidia (CL11-PAST-help) ku-maliza (INF-finish) mgogoro (CL3-conflict)		ai
bahati	Kwa bahati nzuri tulifika kabla ya mvua.	Luckily we arrived before the rain.	5	kwa (by) bahati (CL9-luck) nzuri (CL9-good) tu-li-fika (1PL-PAST-arrive) kabla ya (before) mvua (CL9-rain)		ai
mafanikio	Mafanikio yake yanatokana na bidii ya miaka mingi.	Her success stems from many years of diligence.	9	mafanikio (CL6-success) y-ake (CL6-her) ya-na-tokana na (CL6-PRES-stem.from) bidii (CL9-diligence) ya (CL9-of) mi-aka (CL4-year) mi-ngi (CL4-many)		ai
kukuza	Serikali inakuza utalii katika maeneo ya vijijini.	The government is promoting tourism in rural areas.	8	serikali (CL9-government) i-na-kuza (CL9-PRES-promote) utalii (CL11-tourism) katika (in) ma-eneo (CL6-area) ya (CL6-of) vijiji-ni (CL8-village-LOC)		ai
ukoloni	Ukoloni uliathiri mifumo ya elimu barani Afrika.	Colonialism affected education systems across Africa.	9	ukoloni (CL11-colonialism) u-li-athiri (CL11-PAST-affect) mi-fumo (CL4-system) ya (CL4-of) elimu (CL9-education) bara-ni (CL5-continent-LOC) Afrika		ai
ushindi	Ushindi wao ulisherehekewa nchi nzima.	Their victory was celebrated across the whole country.	8	ushindi (CL11-victory) w-ao (CL11-their) u-li-sherehekewa (CL11-PAST-be.celebrated) nchi (CL9-country) nzima (CL9-whole)		ai
mtazamo	Mtazamo wake kuhusu suala hili umebadilika.	His viewpoint on this issue has changed.	8	mtazamo (CL3-viewpoint) w-ake (CL3-his) kuhusu (about) suala (CL5-issue) hili (CL5-this) u-me-badilika (CL3-PERF-change)		ai
mavazi	Mavazi ya kitamaduni huvaliwa siku za sherehe.	Traditional dress is worn on festival days.	8	mavazi (CL6-clothing) ya (CL6-of) kitamaduni (CL7-traditional) hu-valiwa (HABITUAL-be.worn) siku (CL10-day) za (CL10-of) sherehe (CL9-festival)		ai
kizazi	Kizazi kipya kinatumia teknolojia kwa urahisi.	The new generation uses technology easily.	7	kizazi (CL7-generation) ki-pya (CL7-new) ki-na-tumia (CL7-PRES-use) teknolojia (CL9-technology) kwa (with) urahisi (CL11-ease)		ai
bandari	Bandari ya Mombasa ni kubwa kuliko zote nchini.	The port of Mombasa is the largest in the country.	7	bandari (CL9-port) ya (CL9-of) Mombasa ni (is) kubwa (CL9-big) kuliko (than) z-ote (CL10-all) nchi-ni (CL9-country-LOC)		ai
bara	Bara la Afrika lina nchi hamsini na nne.	The continent of Africa has fifty-four countries.	6	bara (CL5-continent) la (CL5-of) Afrika li-na (CL5-have) nchi (CL10-country) hamsini na nne (fifty-four)		ai
mkakati	Mkakati wa kuhifadhi wanyama umeanza kufanya kazi.	The wildlife conservation strategy has begun to work.	9	mkakati (CL3-strategy) wa (CL3-of) ku-hifadhi (INF-conserve) wa-nyama (CL2-animal) u-me-anza (CL3-PERF-begin) ku-fanya (INF-do) kazi (CL9-work)		ai
kiboko	Viboko hupatikana katika mito mikubwa.	Hippos are found in large rivers.	6	vi-boko (CL8-hippo) hu-patikana (HABITUAL-be.found) katika (in) mi-to (CL4-river) mi-kubwa (CL4-big)		ai
mazingira	Kulinda mazingira ni jukumu la kila mmoja.	Protecting the environment is everyone's responsibility.	8	ku-linda (INF-protect) mazingira (CL6-environment) ni (is) jukumu (CL5-duty) la (CL5-of) kila (every) m-moja (CL1-one)		ai
karne	Mji huu ulianzishwa karne ya kumi na tisa.	This town was founded in the nineteenth century.	8	mji (CL3-town) huu (CL3-this) u-li-anzishwa (CL3-PAST-be.founded) karne (CL9-century) ya (CL9-of) kumi na tisa (nineteen)		ai
mwanzilishi	Mwanzilishi wa shirika hili alikuwa mwalimu.	The founder of this organisation was a teacher.	8	mwanzilishi (CL1-founder) wa (CL1-of) shirika (CL5-organisation) hili (CL5-this) a-li-kuwa (CL1-PAST-be) mwalimu (CL1-teacher)		ai
marehemu	Tunamkumbuka marehemu kwa kazi yake njema.	We remember the deceased for his good work.	8	tu-na-m-kumbuka (1PL-PRES-CL1.OBJ-remember) marehemu (the.deceased) kwa (for) kazi (CL9-work) y-ake (CL9-his) njema (CL9-good)		ai
jangwa	Jangwa linaenea kutokana na ukame wa muda mrefu.	The desert is spreading because of prolonged drought.	9	jangwa (CL5-desert) li-na-enea (CL5-PRES-spread) kutokana na (owing.to) ukame (CL11-drought) wa (CL11-of) muda (CL3-period) m-refu (CL3-long)		ai
kisukuku	Visukuku vilivyopatikana hapa ni vya kale sana.	The fossils found here are extremely ancient.	9	vi-sukuku (CL8-fossil) vi-li-vyo-patikana (CL8-PAST-CL8.REL-be.found) hapa (CL16-here) ni (are) vya (CL8-of) kale (CL9-antiquity) sana (very)		ai
makumbusho	Makumbusho ya taifa yanahifadhi vitu vya kale.	The national museum preserves ancient objects.	8	makumbusho (CL6-museum) ya (CL6-of) taifa (CL5-nation) ya-na-hifadhi (CL6-PRES-preserve) vi-tu (CL8-thing) vya (CL8-of) kale (CL9-antiquity)		ai
maendeleo	Maendeleo ya kiuchumi yameongezeka mwaka huu.	Economic development has increased this year.	8	maendeleo (CL6-development) ya (CL6-of) kiuchumi (CL7-economic) ya-me-ongezeka (CL6-PERF-increase) mwaka (CL3-year) huu (CL3-this)		ai
janga	Janga la njaa liliathiri maeneo mengi.	The famine affected many areas.	8	janga (CL5-catastrophe) la (CL5-of) njaa (CL9-hunger) li-li-athiri (CL5-PAST-affect) ma-eneo (CL6-area) m-engi (CL6-many)		ai
kulipuka	Volkeno hiyo ililipuka miaka mia moja iliyopita.	That volcano erupted a hundred years ago.	9	volkeno (CL9-volcano) hiyo (CL9-that) i-li-lipuka (CL9-PAST-erupt) mi-aka (CL4-year) mia moja (hundred) i-li-yo-pita (CL4-PAST-REL-pass)		ai
licha	Licha ya mvua, watu wengi walihudhuria.	Despite the rain, many people attended.	7	licha ya (despite) mvua (CL9-rain) wa-tu (CL2-person) w-engi (CL2-many) wa-li-hudhuria (CL2-PAST-attend)		ai
mwambao	Mwambao wa Kenya una fukwe nyingi nzuri.	The Kenyan coastline has many fine beaches.	7	mwambao (CL3-coastline) wa (CL3-of) Kenya u-na (CL3-have) fukwe (CL10-beach) nyingi (CL10-many) nzuri (CL10-fine)		ai
madhumuni	Madhumuni ya mkutano ni kupanga bajeti.	The purpose of the meeting is to plan the budget.	8	madhumuni (CL6-purpose) ya (CL6-of) mkutano (CL3-meeting) ni (is) ku-panga (INF-plan) bajeti (CL9-budget)		ai
