word	sentence	translation	difficulty_rank
te	Kei hea te whare?	Where is the house?	100
he	He whare nui tēnei.	This is a big house.	100
ko	Ko Mere tōku ingoa.	My name is Mere.	100
kei	Kei te kura ia.	She is at school.	100
i	I haere ia ki te kāinga.	He went home.	100
ka	Ka haere mātou āpōpō.	We will go tomorrow.	100
kua	Kua kai au.	I have eaten.	100
me	Me haere tāua.	We should go.	100
mai	Haere mai!	Come here! (Welcome!)	100
atu	Haere atu!	Go away!	100
ake	Piki ake!	Climb up!	100
mea	He mea pai tēnei.	This is a good thing.	100
katoa	Kei konei mātou katoa.	We are all here.	100
koutou	Kei te pēhea koutou?	How are you all?	100
tama	Kei te moe te tama.	The boy is sleeping.	100
atua	Ko Tāne te atua o te ngahere.	Tāne is the god of the forest.	100
whenua	He ātaahua te whenua.	The land is beautiful.	100
roto	Kei roto i te whare.	It is inside the house.	100
runga	Kei runga i te tēpu.	It is on the table.	100
iwi	He nui tōku iwi.	My iwi is large.	100
tau	He tau hou tēnei.	This is a new year.	100
mahi	He pai taku mahi.	My work is good.	100
kupu	He aha tēnei kupu?	What is this word?	100
noho	E noho ana au i Rotorua.	I live in Rotorua.	100
ringa	Horoia ō ringa.	Wash your hands.	100
tekau	Tekau ngā manu.	There are ten birds.	100
rite	He rite ngā mea e rua.	The two things are alike.	100
hoki	Ka hoki au ki te kāinga.	I will return home.	100
tonu	Kei konei tonu ia.	He is still here.	100
tana	Kei hea tana pukapuka?	Where is his book?	100
ingoa	Ko wai tō ingoa?	What is your name?	70
marama	Kei te whiti te marama.	The moon is shining.	110
maunga	He teitei te maunga.	The mountain is high.	121
awa	Kei te rere te awa.	The river is flowing.	165
ahi	Kei te kā te ahi.	The fire is burning.	132
toto	He whero te toto.	Blood is red.	137
hipi	Kei te kai ngā hipi i te tarutaru.	The sheep are eating the grass.	134
tinana	Kei te ora tōku tinana.	My body is well.	126
mata	E rua ōku mata.	I have two eyes.	144
waewae	Kei te māmae tōku waewae.	My leg is sore.	147
ora	Kei te ora au.	I am well.	68
hua	He reka te hua.	The fruit is sweet.	130
rongo	Kei te rongo au i te reo.	I hear the voice.	80
whakarongo	Whakarongo mai ki ahau.	Listen to me.	116
kanohi	He ātaahua tōna kanohi.	Her face is beautiful.	105
ihu	Kei te māmae tōku ihu.	My nose hurts.	85
matua	Kei te pai tōku matua.	My father is well.	86
teina	Ko ia tōku teina.	He is my younger sibling.	98
tuakana	Ko ia tōku tuakana.	He is my older brother.	158
oti	Kua oti te mahi.	The work is finished.	97
tupu	Kei te tupu te tamaiti.	The child is growing.	155
riri	Kei te riri ia.	He is angry.	119
toa	He toa ia.	He is brave.	157
mano	Kotahi mano tāngata.	One thousand people.	79
ture	He ture tō te whenua.	The land has laws.	127
hoariri	Kāore ōku hoariri.	I have no enemies.	141
koura	He utu nui te koura.	Gold is valuable.	135
hiriwa	He mea hiriwa tēnei.	This is made of silver.	163
mahara	Kei te mahara au ki a koe.	I remember you.	143
hanga	Ka hanga mātou i tētahi whare.	We will build a house.	67
puta	Ka puta ia ki waho.	He comes out.	62
muri	Haere mai i muri i te kai.	Come after the meal.	84
ingoa	Kua rongonui tōna ingoa.	Her name is famous.	70
tamaiti	Kei te tākaro te tamaiti.	The child is playing.	198
taringa	E rua ōku taringa.	I have two ears.	185
upoko	Kei te māmae tōku upoko.	My head hurts.	216
waiata	He reka te waiata.	The song is sweet.	204
moni	Kāore aku moni.	I have no money.	203
pou	He roa te pou.	The post is long.	201
kapua	He mā te kapua.	The cloud is white.	218
tonga	Kei te tonga te maunga.	The mountain is in the south.	217
reme	He mā te reme.	The lamb is white.	211
whaea	Ko ia tōku whaea.	She is my mother.	169
tini	He tini ngā tāngata.	There are many people.	183
kawe	Ka kawe ia i te kete.	He carries the basket.	184
hinga	Ka hinga te rākau.	The tree falls.	178
heke	Kei te heke te ua.	The rain is falling.	193
whakaatu	Ka whakaatu ia i te pikitia.	He shows the picture.	180
manaaki	Me manaaki tātou i a rātou.	We should care for them.	208
kaitiaki	Ko ia te kaitiaki o te whenua.	He is the guardian of the land.	212
kaimahi	Kei te mahi te kaimahi.	The worker is working.	186
rama	Kei te kā te rama.	The lamp is lit.	215
karakia	Kei te karakia rātou.	They are praying.	222
anahera	He ātaahua te anahera.	The angel is beautiful.	174
whakahoki	Ka whakahoki au i te pukapuka.	I return the book.	142
whakaora	Ka whakaora te rongoā i a ia.	The medicine revives him.	156
mutu	Kua mutu te kēmu.	The game has ended.	190
tuatahi	Ko ia te tuatahi.	He is the first.	191
hari	Kei te hari rātou.	They are dancing.	159
ahakoa	Ahakoa te ua, ka haere au.	Although it is raining, I will go.	140
whawhai	Kaua e whawhai.	Do not fight.	115
kaha	He kaha ia.	He is strong.	87
raro	Kei raro te kurī i te tēpu.	The dog is under the table.	111
