word	reading
آئینه	â'īna
آب	âb
آباد	-âbâd
آبادی	âbâdī
آبشار	âbšâr
آبی	âbi
آبیاری	âbyâri
آتش	âtaš
آثار	âsâr
آجر	âjor
آخر	âxor
آداب	âdâb
آدرس	âdres
آدم	âdam
آدمی	âdamī
آذر	âzar
آر	âr
آرا	ârâ
آرام	ârâm
آرامش	ârâmiš
آرامگاه	ârâmgâh
آرامی	ârâmi
آرایش	ârâyiš
آزاد	âzâd
آزادی	âzâdi
آزار	âzâr
آزمایش	âzmâyiš
آزمایشگاه	âzmâyešgâh
آزمون	âzmūn
آسان	âsân
آسانی	âsâni
آستانه	âstâna
آسمان	âsmân
آسیا	âsiyâ
آسیایی	âsiyâyī
آسیب	âsêb
آشامیدن	âšâmīdan
آشنا	âšnâ
آشنایی	âšnâyī
آشپزخانه	âšpazxâna
آشپزی	âšpazī
آشکار	âškâr
آغاز	âġâz
آفتاب	âftâb
آفتابی	âftâbi
آفریقا	âfrīqâ
آقا	âqâ
آل	âl
آلبوم	âlbom
آلمانی	âlmâni
آلوده	âlūda
آلودگی	âlūdagī
آلومینیوم	âluminiyom
آلی	âlê
آلیاژ	âliyâž
آماده	âmâde
آمار	âmâr
آمد	âmid
آمدن	âmadan
آمدند	âmadand
آمریکایی	âmrikâyi
آموزش	âmôziš
آموزگار	âmôzgâr
آمیز	âmiz
آن	ân
آنان	ânân
آنجا	ânjâ
آنزیم	ânzim
آنقدر	ânqadr
آنلاین	ânlâyn
آنها	ân-hâ
آنچه	ânče
آنگاه	ângâh
آهسته	âhista
آهن	âhan
آهنگ	âhang
آهنگساز	âhangsâz
آهنگسازی	âhangsâzi
آهو	âhu
آواز	âwâz
آورد	âvord
آوردن	âwardan
آویزان	âvizân
آپارتمان	âpârtemân
آژانس	âžâns
آکادمی	âkademi
آگاه	âgâh
آگاهی	âgâhi
آی	ây
آیا	âyâ
آیات	âyât
آینده	âyanda
آینه	âyina
آیه	âya
آیین	âyin
ائتلاف	e'telâf
اب	ab
ابتدا	ebtedâ
ابتلا	ibtilâ
ابر	abr
ابراز	ibrâz
ابریشم	abrêšam
ابزار	abzâr
ابله	ablah
ابن	ebn
اتاق	utâq
اتحاد	ittihâd
اتحادیه	ittihâdiyya
اتخاذ	ittixâz
اتصال	ittisâl
اتفاق	ittifâq
اتم	atom
اتمام	etmâm
اتمی	atomi
اتهام	ittihâm
اتو	utū
اتوبوس	otobus
اثبات	esbât
اثر	asar
اجاره	ejâre
اجازه	ijâza
اجاق	ujâq
اجتماع	ijtimâ'
اجتماعی	ejtemâ'i
اجتناب	ejtenâb
اجرا	ejrâ
احاطه	ihâta
احترام	ihtirâm
احتمال	ihtimâl
احتیاج	ehtiyâj
احتیاط	ihtiyât
احداث	ahdâs
احساس	ihsâs
احضار	ihzâr
احمد	ahmad
احیا	ehyâ
اخبار	axbâr
اختراع	exterâ'
اختصاص	ixtisâs
اختلاف	ixtilâf
اختلال	ixtilâl
اختیار	ixtiyâr
اخذ	axz
اخراج	exrâj
اخلاق	axlâq
اخلاقی	axlâqi
اخیر	axir
اد	-âd
اداره	idâra
ادامه	edâme
ادب	adab
ادبی	adabi
ادبیات	adabiyyât
ادغام	edġâm
ادیان	adyân
ار	-âr
ارائه	erâ'e
اراضی	arâzi
ارتباط	irtibât
ارتش	artiš
